Scopus - Analyze author output

"Author name:","Sarkar, Sabita"
"Scopus author ID:","7403239647"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Singh,VikasPratap","3"
"Gupta,GovindSharan","2"
"Litster,J.D.","2"
"RUDOLPH,Victor","2"
"VanDerHoef,MartinA.","2"
"Kuipers,HansJ.A.M.","2"
"Rajneesh,S.","2"
"Mantripragada,VishnuTeja","1"
"Renganathan,Thiruvengadam","1"
"Goldszal,Alexandre","1"
"Kaza,Marutiram","1"
"Mme,Uduak","1"
"Nzotta,MsellyM.","1"
"Moe,Randi","1"
"Basavaraj,ManjunathG.","1"
"White,EdTT","1"
"Teng,Lidong","1"
"Kriebitzsch,Sebastian","1"
"Gupta,G.S.","1"
"Gupta,G.S.","1"
"Gupta,GovindS.","1"
"Gupta,G.S.","1"
"Seetharaman,Seshadri","1"
"Pushpavanam,Subramaniam","1"
"Johansen,SteinTore","1"
"Choudhary,S.K.","1"
"Patil,PramodD.","1"
"Chychko,Andrei","1"
"Shukla,AjayKumar","1"
"Ladam,Yves","1"
"Prasad,Kali","1"
"Gupta,GovindS.","1"
"Gupta,G.S.","1"
"Gupta,G.S.","1"
"Gupta,G.S.","1"
"Kitamura,Shinya","1"
"Dhirhi,Ravindra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
