Scopus - Analyze author output

"Author name:","Subramanya Sarma, Vadlamani"
"Scopus author ID:","6602696331"

"Co-authors:","143"

"Co-author","Co-authored documents"

"Murty,BudarajuSrinivasa","25"
"Mandal,Sumantra","16"
"Holzäpfel,Bernhard","15"
"Padmanabhan,KuppuswamyAnantha","15"
"Eickemeyer,Jörg","12"
"Freudenberger,Jens","11"
"Heilmaier,Martin","10"
"Kauffmann,Alexander","10"
"Sankaran,SundaramP.","10"
"Kumar,Sundaram","9"
"Bhaduri,ArunKumar","9"
"Schultz,LindaD.","7"
"DeBoer,Bernd","7"
"Athreya,C.N.","6"
"Koethe,Alfred","6"
"Schultz,LoganN.","6"
"Shanmugasundaram,Thangaraju","6"
"Jaeger,Gerd","5"
"Raju,K.Sitarama","4"
"Schillinger,Wolfram","4"
"Susila,P.","4"
"Sturm,Daniel","4"
"Sivaprasad,PallaVenkata","4"
"Hegedus,Z.","4"
"Gubicza,Jenõ","4"
"Chattopadhyay,ArunK.","3"
"Opitz,R.","3"
"Raj,Baldev","3"
"Schäper,MichaelK.","3"
"Suwas,Satyam","3"
"HariKumar,K.C.","3"
"Rajan,Karthikeyan","3"
"Wilde,Gerhard","3"
"Klauß,HansjörgJörg","3"
"Bhattacharjee,Debashish","3"
"Dasgupta,Arup","3"
"Saroja,Saibaba","3"
"Hühne,Ruben","3"
"Gurao,NileshPrakash","2"
"Wang,Jun","2"
"Selbmann,Dietmar","2"
"Yin,S.","2"
"Wendrock,Horst","2"
"Hänisch,JensU.","2"
"Mondi,PapaRao","2"
"Lábár,JánosL.","2"
"Scattergood,RonaldO.","2"
"Chakraborty,Madhusudhan","2"
"Mukhopadhyay,NilayKrishna","2"
"Haldar,Arunansu","2"
"Schultz,Ludwig","2"
"Conrad,Hans","2"
"Reger,Norman","2"
"Zhu,Yuntian","2"
"Peterlechner,Martin","2"
"Jian,Weiwei","2"
"Koch,CarlC.","2"
"Jayalakshmi,M.","2"
"Niranjani,V.L.","2"
"Bahmanpour,Hamed","2"
"Thersleff,Thomas","2"
"Bhaskar,Pragna","2"
"Khoshkhoo,MohsenSamadi","2"
"Thangaraju,Shanmugasundaram","1"
"Schloth,P.","1"
"Srivastava,V.C.","1"
"Kim,Dongik","1"
"Katnagallu,ShyamSwaroop","1"
"DeHaas,Oliver","1"
"Samantaray,Dipti","1"
"Laha,Kinkar","1"
"Panda,Padmalochan","1"
"Babu,K.Arun","1"
"Marr,Tom","1"
"Chopra,A.","1"
"Eckert,J.","1"
"Rao,M.Papa","1"
"Kutty,T.RGovindan","1"
"Rana,JatinkumarKumar","1"
"Engel,Sebastian","1"
"Priya,R.Jyothi","1"
"Raju,SubramanianDVSJagannadha","1"
"Wendt,Ulrich","1"
"Sivaprahasam,Duraisamy","1"
"Maher,EamonnF.","1"
"Rai,Nandani","1"
"Das,SiddharthaC.","1"
"Murugesan,S.","1"
"Weißer,MatthiasA.","1"
"Klemm,Volker","1"
"VanSwygenhoven,Helena","1"
"Zeimetz,Bernhard","1"
"Deepak,K.","1"
"Güth,Albert","1"
"Engler,Olaf","1"
"Okai,Daisuke","1"
"Kumar,AbhishekVPraveen","1"
"Schultz,Ludwig","1"
"Jianbing,Q.","1"
"Vijayalakshmi,MookambesvaranA.","1"
"Sangal,Sandeep","1"
"PrasadRao,K.","1"
"Madhavan,RajRaja","1"
"Kaushik,Vishakha","1"
"Jayasankar,Kalidoss","1"
"Sivaprasad,K.R.","1"
"Eckert,J.","1"
"Kayalvizhi,R.","1"
"Senthilvelan,Thiagarajan","1"
"Weigand,Marcus","1"
"Venugopal,Palaniswamy","1"
"Baunack,Stefan","1"
"Jeyaganesh,B.","1"
"Durrell,JohnH.","1"
"PapaRao,M.","1"
"VanPetegem,StevenV.","1"
"Pant,Bhanu","1"
"Santhosh,PadmamN.","1"
"CheekurNagaraja,Athreya","1"
"Sundararaman,Mahadevan","1"
"Geissler,David","1"
"Singh,Aarti","1"
"HarishKumar,N.","1"
"RaviSankar,K.","1"
"Cai,Chuanbing","1"
"Jupp,SimonP.","1"
"Krishna,MamidipudiGhanashyam","1"
"Gouthama","1"
"Raghavendra,K.G.","1"
"ArunBabu,K.","1"
"Balasubramanian,M.","1"
"Balachandar,K.","1"
"Mudali,UthandiKamachi","1"
"Wendrock,Horst","1"
"Dong,Chuang","1"
"Nenkov,KonstantinKonstantin","1"
"Lauterbach,Stefan","1"
"Schindler,Frank","1"
"Ramaseshan,Rajagopalan","1"
"AnanthaPadmanabhan,Kuppusamy","1"
"Gueth,Albert","1"
"Gandham,Phanikumar","1"
"Knoth,Kerstin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
