Scopus - Analyze author output

"Author name:","Yadav, Satyesh Kumar"
"Scopus author ID:","37091876200"

"Co-authors:","47"

"Co-author","Co-authored documents"

"Ramprasad,Ramamurthy","10"
"Misra,Amit","9"
"Liu,Xiangyang","8"
"Li,Nan","5"
"Wang,Jian","4"
"Liu,Xiangyang","3"
"Hoagland,RichardG.","3"
"Uberuaga,BlasPedro","3"
"Baldwin,JonKevinS","3"
"Anderoglu,Osman","2"
"Xu,Yun","2"
"Aguiar,JefferyA.","2"
"Wang,Yongqiang","2"
"Luo,Hongmei","2"
"Nikl,Martin","1"
"Stanek,ChrisR.","1"
"Niklasson,AndersMN","1"
"Cawkwell,MarcJ.","1"
"Nath,SameerKumar","1"
"Jiang,Chao","1"
"Coe,JoshuaD.","1"
"Alpay,PamirS.","1"
"Watkins,ErikB.","1"
"Shimpi,Paresh","1"
"Wang,Jun","1"
"Sadowski,T.","1"
"McClellan,KennethJ.","1"
"Vyas,Satya","1"
"Dong,Liang","1"
"Beyerlein,IreneJ.","1"
"Mara,NathanA.","1"
"Gao,Puxian","1"
"Majewski,JarosławP.","1"
"Andersson,DavidA.","1"
"Uberuaga,BlasP.","1"
"Shao,S.","1"
"Valdez,JamesA.","1"
"Wang,J.","1"
"Sharma,Vinit","1"
"Mara,NathanA.","1"
"Nikl,Martin","1"
"Jiang,Chao","1"
"Chen,Y.","1"
"Stanek,ChristopherR.","1"
"Chandra,Ramesh","1"
"Wang,Jian","1"
"Chaudhary,G.P.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
