Scopus - Analyze author output

"Author name:","Anantha Subramanian, V."
"Scopus author ID:","6504007618"

"Co-authors:","10"

"Co-author","Co-authored documents"

"Kumar,ManojSarathSiva","2"
"Sajini,U.S.","1"
"Singh,SanjayPratap","1"
"Suchithran,P.R.","1"
"Vendhan,ChiruvaiP.","1"
"Shameem,B.M.","1"
"Subramanyam,P.VV","1"
"JagadeeshKumar,V.","1"
"Sundaravadivelu,Renganathan","1"
"Asokumar,G.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
