Scopus - Analyze author output

"Author name:","Bhattacharyya, Subroto Kumar"
"Scopus author ID:","55434925700"

"Co-authors:","34"

"Co-author","Co-authored documents"

"Idichandy,V.G.","9"
"Vendhan,ChiruvaiP.","8"
"Sharma,RajivKumar","7"
"Nallayarasu,S.","7"
"PanneerSelvam,R.","5"
"Vasudev,K.L.","4"
"Manoj,K.G.","3"
"Rajesh,GopidiR.","3"
"Sudarsan,K.","3"
"Mathew,Vincent","3"
"Selvam,RajamanickamPanneer","2"
"Philip,NimmyThankom","2"
"Irkal,MohsinAR","2"
"Haddara,MahmoudRMahmoudR","2"
"Kim,Taewan","2"
"Sreekumar,S.","2"
"Joglekar,NitindraR.","2"
"Gupta,DeepakKumarUmar","2"
"Rao,MaheshJ.","1"
"Mishra,Virag","1"
"Srinivas,C.J.","1"
"Rao,J.Mahesh","1"
"Saravanan,R.","1"
"Subramanian,V.Anantha","1"
"Premkumar,R.","1"
"GiriRajasekhar,G.","1"
"Mahidhar,G.NRK","1"
"Joseph,Anitha","1"
"IrkalMohsin,A.R.","1"
"Vengadesan,SankaranarayananN.","1"
"Chowdhury,A.Datta","1"
"Singh,Yogang","1"
"Chandrasekaran,Srinivasan","1"
"Krishnankutty,Parameswaran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
