Scopus - Analyze author output

"Author name:","Chandrasekaran, Srinivasan"
"Scopus author ID:","7102443413"

"Co-authors:","54"

"Co-author","Co-authored documents"

"Jain,AshokKumarUnivOfRoorkee","9"
"Chandak,NarayanR.","5"
"Carannante,Federico","4"
"Madhavi,N.","4"
"Serino,Giorgio","4"
"Natarajan,MadhaviP.","3"
"Sharma,AbhishekK.","3"
"Nunziante,Luciano","3"
"Kumar,DeepakVijaya","3"
"Madhuri,S.","3"
"Gaurav","3"
"Jain,Arvind","2"
"Srivastava,Shivam","2"
"Gupta,Anupam","2"
"Ramanathan,Ranjani","2"
"Sreeramulu,LognathRadhakrishnan","2"
"Gupta,SanjayK.","1"
"Koshti,Yuvraj","1"
"SRIVASTAVA,AMITKumarUmar","1"
"Miranda,Salvatore","1"
"Bhaskar,K.","1"
"Roy,Anubhab","1"
"Ramanthan,Ranjani","1"
"Nannaware,Madhuri","1"
"Nassery,Jamshed","1"
"Saravanan,R.","1"
"Lognath,R.S.","1"
"Fraldi,Massimiliano","1"
"Raphel,D.C.","1"
"Raghavi,B.","1"
"Jain,AnirudhK.","1"
"Saravanakumar,Sampath","1"
"Nunzinate,L.","1"
"Varthini,D.Shyamala","1"
"Kiran,A.","1"
"Hashim,MohammedShahrizalB","1"
"Pernice,M.C.","1"
"Mayanak,Senger","1"
"Saishri,P.","1"
"PanneerSelvam,R.","1"
"Pannerselvam,R.","1"
"Singh,JitendraKumar","1"
"Bhattacharyya,SubrotoKumar","1"
"Thanu,NatarajanChithambara","1"
"Chitambaram,Thailammai","1"
"Gupta,AbhishekKr","1"
"Mayank,Senger","1"
"Sundaravadivelu,Renganathan","1"
"Srinath,VishruthNagarajan","1"
"Madhavi,M.","1"
"Srivastava,AshishKumar","1"
"Pandian,S.Parameswara","1"
"Anupam,Gupta","1"
"Harender","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
