Scopus - Analyze author output

"Author name:","Chandrayadula, Tarun K."
"Scopus author ID:","16038442100"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Worcester,PeterF.","3"
"Wage,KathleenE.","3"
"Dzieciuch,MatthewA.","3"
"Colosi,JohnA.","3"
"Mercer,JamesA.","2"
"Howe,BruceM.","2"
"Andrew,RexK.","2"
"Voronovich,AlexanderG.","1"
"Dushaw,BrianD.","1"
"Joseph,JohnE.","1"
"Miller,ChristopherW.","1"
"Coby,Weston","1"
"Ostashev,VladimirE.","1"
"Fischer,Jacob","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
