Scopus - Analyze author output

"Author name:","Krishnankutty, Parameswaran"
"Scopus author ID:","6602690369"

"Co-authors:","32"

"Co-author","Co-authored documents"

"Varyani,KamleshS.","6"
"Vendhan,ChiruvaiP.","4"
"Thavalingam,Appapillai","2"
"Praveen,P.C.","2"
"Veedu,RameeshaThayale","2"
"Senan,Aswathy","2"
"Babu,MannamNagaPraveen","2"
"Shenoi,R.Rajita","2"
"Francis,Roni","2"
"Panigrahi,P.K.","1"
"Selvam,RajamanickamPanneer","1"
"Ananthasubramanian,V.","1"
"Krishnamachari,Sudarsan","1"
"McGregor,RobertCharles","1"
"Sharma,RajivKumar","1"
"Subramanian,V.Anantha","1"
"Kachhawaha,Praveen","1"
"Anantha,Subramanian","1"
"Nair,PrabhasuthanPrabhakaran","1"
"Waghmare,LaxmanMadhavrao","1"
"Tiwari,KunalN.","1"
"Kulshrestha,Ankush","1"
"Mannam,NagaPraveenBabu","1"
"PanneerSelvam,R.","1"
"Kumar,PavanSunny","1"
"Bhattacharyya,SubrotoKumar","1"
"SunnyKumar,P.","1"
"Hariharan,K.","1"
"Krishna,B.","1"
"Sudarsan,K.","1"
"Vijayakumaran,Harikrishnan","1"
"Mallikarjuna,JawaliMaharudrappa","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
