Scopus - Analyze author output

"Author name:","Kumar, Deepak Vijaya"
"Scopus author ID:","55465086500"

"Co-authors:","124"

"Co-author","Co-authored documents"

"Katoch,SurjitSingh","7"
"Forsyth,NicholasRobert","6"
"Yang,Ying","5"
"Quintana,FranciscoJ.","5"
"Burns,EvanJ.","5"
"Saha,Prabir","5"
"Lassar,AndrewB.","4"
"Bhattacharya,Sabyasachi","4"
"Nadeau,Meghan","4"
"Bhattacharyya,Partha","3"
"Dandapat,AnupKumar","3"
"Xiao,Sheng","3"
"Kuchroo,VijayK.","3"
"Yeste,Ada","3"
"Weiner,HowardL.","3"
"Chandrasekaran,Srinivasan","3"
"Ghosh,Shankar","3"
"Bowen,Chris","2"
"Seavitt,JohnR.","2"
"Zhu,Chen","2"
"Ghosh,Shankar","2"
"Georgopoulos,Katia","2"
"Gittings,JonathanP.","2"
"Jin,Hulin","2"
"Ramanathan,Ranjani","2"
"Gandhi,Roopali","2"
"Dale,TinaPatricia","2"
"Patel,Bonny","2"
"Sharma,Abhijit","2"
"Husain,Zakir","2"
"Rangachari,Manu","2"
"Cartmell,SarahHarriet","2"
"Gupta,Saniya","2"
"Hidalgo-Bastida,LiliaAraida","2"
"Turner,IreneG.","2"
"Mazzola,MariaAntonietta","1"
"Pot,Caroline","1"
"Griffin,RussellL.","1"
"Joller,Nicole","1"
"Vinodh,Sekar","1"
"Pijanka,JacekKlaudiusz","1"
"Ramanthan,Ranjani","1"
"Wagers,AmyJ.","1"
"Kumar,Prashant","1"
"Lenardi,Cristina","1"
"Garg,ShwetaK.","1"
"Barman,M.C.","1"
"Daoud,Georges","1"
"Liu,Yang","1"
"Devadasan,SamuelRajkumar","1"
"Pertel,Thomás","1"
"Dutta,Rahul","1"
"Hei,Hillary","1"
"Tae,Giyoong","1"
"Raghul","1"
"Gupta,SandipKumar","1"
"Rout,DeepakKumar","1"
"Kozhemyakina,ElenaA.","1"
"Gwanyalla,Nguendab","1"
"Prakash,BukkarayaSamudramAmudram","1"
"Kim,JongChul","1"
"Yousef,Ibraheem","1"
"Dumas,Paul","1"
"Wilson,SamanthaL.","1"
"Ghose,Tirthadip","1"
"Untereiner,Valérie","1"
"Kivisäkk,Pia","1"
"Parkes,Gary","1"
"Kumar,AbhishekVPraveen","1"
"Raheja,Radhika","1"
"Jena,ManojKumar","1"
"Bandaru,PrabhakarR.","1"
"Gaur,ManojSingh","1"
"Regev,Keren","1"
"Malakar,Dhruba","1"
"Kozoriz,DeneenB.","1"
"Sockalingum,GaneshDhruvananda","1"
"Tamplenizza,Margherita","1"
"Ahmed,Abbas","1"
"Verma,Mohit","1"
"Sherr,DavidH.","1"
"Vimal,K.EK","1"
"Sane,Anit","1"
"Murugaiyan,Gopal","1"
"Aly,Lilian","1"
"Sulé-Suso,Josep","1"
"Bhattacharya,Shobo","1"
"Rajamanickam,Raja","1"
"Apetoh,Lionel","1"
"Nejad,Parham","1"
"Laroni,Alice","1"
"Shadrach,JenniferL.","1"
"Umashankar,S.","1"
"Kumari,Sushma","1"
"Holowacz,Tamara","1"
"Kumaraswamy,GuruswamyN.","1"
"Tukpah,AnnMarcia","1"
"SenGupta,Sayam","1"
"Rajabi,Hasan","1"
"Ambetkar,Vighnesh","1"
"Kim,Daewon","1"
"Glanz,BonnieI.","1"
"Gerges,Irini","1"
"Gohil,Smita","1"
"Prakash,ArunRonisha","1"
"Manfait,Michel","1"
"Dake,BenT.","1"
"Ghosh,ShankarK.","1"
"Ionescu,AndreiaM.","1"
"Mascanfroni,IvánDarío","1"
"Chitnis,Tanuja","1"
"Kirubakaran,Annamalai","1"
"Laxmi,VijayIJAY","1"
"Wu,Chuan","1"
"Santiago,AndrezzaFernanda","1"
"Sahu,ShailendraK.","1"
"Collins,DavidJ.","1"
"Sargurunathan,M.","1"
"Nedumgatt,JacobJames","1"
"Kempf,Hervé","1"
"Rahman,MdMahmudur","1"
"Grover,Jyoti","1"
"Nitsure,Nitin","1"
"Paul,GourChandra","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
