Scopus - Analyze author output

"Author name:","Murali, Kantharaj V."
"Scopus author ID:","7005970015"

"Co-authors:","48"

"Co-author","Co-authored documents"

"Sundar,VallamS.","11"
"Behera,ManasaRanjan","6"
"Noarayanan,Lakshmanan","6"
"Rajasekaran,G.","4"
"Mani,JayS.","4"
"Sannasiraj,SannasiAnnamalaisamy","4"
"Kumar,KurichiSanthosh","4"
"Sudharsan,NatteriM.","3"
"Dhinesh,G.","3"
"Neelamani,Subram","3"
"Srinivasaraghavan,R.","3"
"Vijayalakshmi,KannanK.","3"
"Sundaravadivelu,Renganathan","3"
"Lou,Jing","2"
"Shanmugam,Palanisamy","2"
"Subramanian,VidhyaAnantha","2"
"Scaria,SajumonV.","2"
"Sundar,Vallam","2"
"Ali,NisaSulficker","2"
"Patrikar,RajendraM.","1"
"Sriram,Venkatachalam","1"
"Bevan,RhodriLT","1"
"Idichandy,V.G.","1"
"Nagan,Soundarapandian","1"
"Amer,S.S.","1"
"Santhaswaruban,V.","1"
"Nithiarasu,Perumal","1"
"Ajaykumar,R.","1"
"Amoudhavally,V.","1"
"Jagadeesh,P.","1"
"Sitaram,Nekkanti","1"
"Varma,K.VK","1"
"Subramanian,Rahul","1"
"Ping,LiEr","1"
"Chen,Ming","1"
"Kurinjivelan,P.","1"
"Amit,D.","1"
"Hua,Jinsong","1"
"Subramanian,VinayAnanatha","1"
"Narendran,Krishnan","1"
"Dhanaseelan,B.B.","1"
"Setti,Kannayya","1"
"Govardhan,MukkaS.","1"
"Chitra,K.","1"
"Samuel,DevadossR.","1"
"Khoo,B.C.","1"
"Sunsaravadivelu,R.","1"
"Lee,Kwokhong","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
