Scopus - Analyze author output

"Author name:","Nallayarasu, S."
"Scopus author ID:","6507073087"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Bhattacharyya,SubrotoKumar","7"
"SenthilKumar,N.","2"
"Philip,NimmyThankom","2"
"Irkal,MohsinAR","2"
"Kumar,NarendraSenthil","2"
"Sekhar,GopuR.","2"
"Rao,MaheshJ.","1"
"Mathai,ThomasP.","1"
"Rao,J.Mahesh","1"
"Sreeraj,R.","1"
"Prasad,P.Siva","1"
"Sudhakar,S.","1"
"Murali,Manusha","1"
"IrkalMohsin,A.R.","1"
"Bairathi,Kirti","1"
"SivaPrasad,P.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
