Scopus - Analyze author output

"Author name:","Panneer Selvam, R."
"Scopus author ID:","57190760341"

"Co-authors:","14"

"Co-author","Co-authored documents"

"Bhattacharyya,SubrotoKumar","5"
"BhaskaraRao,D.S.","3"
"Saravanan,R.","2"
"Srinivasan,NaganS.","2"
"Krishnankutt,P.","1"
"RamanaMurthy,M.V.","1"
"Dhinesh,G.","1"
"Ajeesh,M.V.","1"
"PhaniKumar,S.VS","1"
"Shenoi,R.Rajita","1"
"RajitaShenoi,R.","1"
"Chandrasekaran,Srinivasan","1"
"Sundarvadivelu,R.","1"
"Krishnankutty,Parameswaran","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
