Scopus - Analyze author output

"Author name:","Saha, Nilanjan"
"Scopus author ID:","16230987900"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Roy,Debasish","8"
"Manikandan,RajendranR.","7"
"Abhinav,K.A.","4"
"Aggarwal,Neeraj","3"
"Næss,Arvid","3"
"Gao,Z.","2"
"Nishold,S.SherlinPrem","1"
"Toft,HenrikStensgaard","1"
"Sørensen,JohnDalsgaard","1"
"Sundaravadivelu,R.","1"
"Dash,MihirKumar","1"
"Moan,Torgeir","1"
"Moan,Torgeir","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
