Scopus - Analyze author output

"Author name:","Samad, Abdus"
"Scopus author ID:","24465559200"

"Co-authors:","43"

"Co-author","Co-authored documents"

"Kim,KwangYong","18"
"Bellary,SayedAhmedImran","9"
"Halder,Paresh","9"
"Badhurshah,Rameez","6"
"Lee,Kidon","4"
"Haftka,RaphaelT(Compiler)","4"
"Goel,Tushar","4"
"Husain,Afzal","4"
"Sonawat,Arihant","3"
"Al-Azri,NasserA.","3"
"Shyy,Wei","3"
"Siddique,MdHamid","3"
"Adhav,RohitS.","3"
"Mrinal,K.R.","3"
"Kenyery,Frank","3"
"Lee,Kisang","3"
"Kim,Jinhyuk","2"
"Karthikeyan,T.","2"
"Venkatesan,Nithya","2"
"Vuddagiri,Aswin","2"
"Avital,EldadJitzhak","2"
"Couckuyt,Ivo","1"
"Choi,Jaeho","1"
"Jang,Choonman","1"
"Hewakandamby,BuddhikaN.","1"
"Kim,Sunmin","1"
"Husain,A.","1"
"Short,Garry","1"
"Lowndes,IanS.","1"
"Nizamuddin,Mohammad","1"
"Chaudhuri,Abhijit","1"
"Ai,K.","1"
"Al-Rawahi,NabeelZH","1"
"Chon,Bohyun","1"
"Korakianitis,TheodosiosP.","1"
"Shin,Dongyoon","1"
"Dhaene,Tom","1"
"Singha,Oyendrila","1"
"HamidSiddique,Md","1"
"Omar,Rajab","1"
"Choi,Youngseok","1"
"Mohan,Sarath","1"
"Goharzadeh,Afshin","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
