Scopus - Analyze author output

"Author name:","Sangwai, Jitendra Shital"
"Scopus author ID:","9276144800"

"Co-authors:","68"

"Co-author","Co-authored documents"

"Gardas,RameshL.","15"
"Sakthivel,Sivabalan","12"
"Sharma,Tushar","10"
"Velusamy,Sugirtha","10"
"Mech,Deepjyoti","8"
"Mekala,Prathyusha","8"
"Doble,Mukesh","7"
"Sakthipriya,N.","6"
"SureshKumar,Govindarajan","5"
"Nagarajan,Ramamurthy","4"
"Avula,VenkataRamana","4"
"Saraf,DeokiN.","4"
"Sami,NaghamAmer","4"
"Ponmani,Swaminathan","4"
"Gupta,SantoshSantosh","4"
"Chon,Bohyun","3"
"Pandey,Gaurav","3"
"Das,KousikK.","3"
"Bhatia,JigarChandrakantbhai","2"
"Sharma,AbhayS.","2"
"Bhat,ShrikantA.","2"
"Samuel,RobelloG.","2"
"Nagarajan,Ramamurthy","2"
"Bansal,Gopal","2"
"Joshi,Abhishek","2"
"William,JayKarenMaria","2"
"Srivastava,JayeshP.","2"
"Govindaraj,Varun","2"
"Jha,AshutoshKumar","2"
"Nair,VishnuChandrasekharan","2"
"Chhotaray,PratapK.","1"
"Shah,BhavikJ.","1"
"Tewari,D.C.","1"
"Busch,Marc","1"
"Herri,JeanMichel","1"
"Mondal,Sujoy","1"
"Talekar,Anjali","1"
"SakthiPriya,N.","1"
"Babu,Ponnivalavan","1"
"KumarAnand,Anup","1"
"Ojha,UmaprasanaS.","1"
"Kamisetty,VamsiKrishna","1"
"Buddhiwant,Arpit","1"
"Patel,RachitS.","1"
"Gupta,SanjayVirendraKumar","1"
"Belloum,Mohamed","1"
"Mishra,Amrita","1"
"RamanUjjwal,Rewati","1"
"Ouabbas,Yamina","1"
"Barmavath,Tejaswi","1"
"Oellrich,LotharRainer","1"
"Santhosh,EmilC.","1"
"Said,Samer","1"
"Linga,Praveen","1"
"Godishala,KranthiK.","1"
"Shi,Renhai","1"
"Chandra,Dhanesh","1"
"Gupta,Pawan","1"
"Balasubramanian,Natesan","1"
"Khodja,Mohamed","1"
"Ramadass,G.Ananda","1"
"Abdulrazak,AshirA.","1"
"Faris,H.A.","1"
"Iglauer,Stefan","1"
"Chien,Wenming","1"
"Ramesh,Sethuraman","1"
"Patel,P.","1"
"Velmurugan,Naveen","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
