Scopus - Analyze author output

"Author name:","Sannasiraj, Sannasi Annamalaisamy"
"Scopus author ID:","6603500375"

"Co-authors:","60"

"Co-author","Co-authored documents"

"Sundar,VallamS.","47"
"Balaji,Ramakrishnan","9"
"Sriram,Venkatachalam","8"
"Nasar,T.","7"
"Sundar,Vallam","7"
"Chan,Engsoon","7"
"Sundaravadivelu,Renganathan","7"
"Babovic,VladanM.","4"
"Anand,KarurVaideeswaran","4"
"DeChowdhury,S.","4"
"Murali,KantharajV.","4"
"Krishnakumar,C.","4"
"Sankarbabu,K.","3"
"Polnikov,V.G.","3"
"Stephen,JermieJ.","3"
"Zhang,Hong","3"
"Schlenkhoff,AndreasU.","2"
"JohnAshlin,S.","2"
"Manjula,Renganathan","2"
"MuniReddy,M.G.","2"
"Schlurmann,Torsten","2"
"Natarajan,Ramamurthy","2"
"Goldstein,M.G.","1"
"Kumar,E.Dinesh","1"
"Palanichamy,K.","1"
"Latha,G.","1"
"Koh,YihMing","1"
"DossJesudhas,Vimal","1"
"Lavrenov,IgorV.","1"
"Kaldenhoff,Hans","1"
"Lekshmi,G.R.","1"
"Selvam,RajamanickamPanneer","1"
"Behera,ManasaRanjan","1"
"Maiti,D.K.","1"
"Harini,K.","1"
"Rangarao,V.","1"
"Wilbert,R.","1"
"Avaneendran,Arunjith","1"
"Abuzyarov,Z.K.","1"
"NaganSrinavasan,R.","1"
"RamanaMurthy,M.V.","1"
"Venkatesan,RamasamyA.","1"
"Pasechnik,T.A.","1"
"Neelamani,Subram","1"
"Yeh,Harry","1"
"Vijayalakshmi,R.","1"
"Kannan,Rohit","1"
"Kerpen,NilsB.","1"
"Dymov,V.I.","1"
"Panneerselvam,R.","1"
"Pogarskiy,F.A.","1"
"Swapnadip,D.C.","1"
"Kalyani,M.","1"
"Lokesha","1"
"DineshKumar,E.","1"
"Vallam,Sundar","1"
"Samuel,DevadossR.","1"
"Venkatraman,M.","1"
"Madsen,OleSecher","1"
"Madhuri,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
