Scopus - Analyze author output

"Author name:","Sharma, Rajiv Kumar"
"Scopus author ID:","55685397700"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Sonara,DasarathP.","8"
"Tanna,VipulL.","7"
"Bhattacharyya,SubrotoKumar","7"
"Pradhan,SubrataS.","6"
"Bairagi,Nitin","5"
"Nimavat,HirenD.","5"
"Patel,JigneshkumarC.","5"
"Panchal,RohitN.","5"
"Kim,Taewan","5"
"Shah,PankilR.","5"
"Srikanth,G.LN","5"
"Tank,JigneshK.","5"
"Panchal,PradipN.","4"
"Patel,KetanM.","4"
"Vasudev,K.L.","4"
"Patel,RachanaJ.","4"
"Pathan,FirozkhanKhan","3"
"Garg,Archna","3"
"Saxena,YogeshChander","3"
"Sahu,AnantaK.","3"
"Sarkar,Biswanath","3"
"Gupta,NareshC.","3"
"Raval,DilipC.","3"
"Asokan,Thondiyath","3"
"Pandey,Sujata","2"
"Prasad,Upendra","2"
"Parekh,TejasJ.","2"
"Dhanani,KalpeshR.","2"
"Domala,Vamshikrishna","2"
"Sahoo,Patitapaban","2"
"George,Siju","2"
"Jain,ShailBala","2"
"Mishra,Pratima","2"
"Bhattacharya,Ritendra","2"
"Semwal,Pratibha","2"
"Singh,ManojKumar","2"
"Tiwari,B.K.","2"
"Christian,D.R.","2"
"Gupta,ManojKumar","2"
"Sharma,AashooN.","2"
"Shukla,Pawan","2"
"Khan,Ziauddin","2"
"Kanagaraj,S.","2"
"Mahesuriya,G.I.","2"
"Thakur,ArvinkumarL.","1"
"Purohit,ShishirP.","1"
"Hopman,Hans","1"
"Gupta,VinayKumar","1"
"Gupta,Pratibha","1"
"Bhandarkar,ManishaK.","1"
"Singh,ManojKumar","1"
"Thakur,Vivek","1"
"Chandramouli,S.","1"
"Patel,KiritB.","1"
"Makwana,AzadsinhR.","1"
"Phadke,Gaurang","1"
"Chudasma,H.H.","1"
"Parmar,PramodR.","1"
"Paravastu,Yuvakiran","1"
"Doshi,BharatR.","1"
"Shukla,BrajKishore","1"
"Gupta,SanchitS.","1"
"Kaur,Rajwant","1"
"Amardas,A.","1"
"Biswas,Prabal","1"
"Chauhan,PradeepK.","1"
"Kumar,SenthilC.","1"
"Govindarajan,G.","1"
"Mansuri,ImranA.","1"
"Patel,KartikG.","1"
"Dvivedi,Jyoti","1"
"Srinivasan,R.","1"
"Chowdhuri,MalayBikas","1"
"Patel,DipakJ.","1"
"Raval,TusharY.","1"
"Philip,Ajay","1"
"Shah,Nitin","1"
"Duggar,R.","1"
"Saxena,VartikaS.","1"
"Senani,Raj","1"
"Subramanian,V.Anantha","1"
"Jha,RatneshwarS.","1"
"Atrey,PradeepKumar","1"
"Adhiya,A.N.","1"
"Nagora,U.C.","1"
"Sharma,ParulKumar","1"
"Ramaiya,Nilam","1"
"Babu,GattuRamesh","1"
"Parghi,BhadreshR.","1"
"Ambulkar,KiranK.","1"
"Das,Apangshu","1"
"Chaudhari,VilasR.","1"
"Yuvakiran,Paravastu","1"
"Thakur,SidhantS.","1"
"Dhongde,JasrajR.","1"
"Ranjeet,M.","1"
"Sharma,AshooN.","1"
"Khristi,YohanS.","1"
"Parbhot,Chandan","1"
"Thankey,PrashantL.","1"
"Saradha,S.","1"
"Bhaskar,V.R.","1"
"Kumar,Aveg","1"
"Masand,Harish","1"
"Gosain,G.D.","1"
"Gaula,AshokKumar","1"
"Son,Myeongjo","1"
"Doshi,KalpeshJ.","1"
"Dhar,VikramK.","1"
"Prajapati,D.R.","1"
"Rewatkar,Pratima","1"
"Sharma,AnupriyaL.","1"
"Panchal,ArunG.","1"
"Singh,AmitK.","1"
"Khan,M.S.","1"
"Dalakoti,Shefali","1"
"Muralidharan,Rangarajan","1"
"Lee,SangChul","1"
"Bora,Dhiraj","1"
"Varmora,PankajP.","1"
"Kumar,DineshRupesh","1"
"Kumar,ManojDinesh","1"
"Tahiliani,Kumudni","1"
"Raval,JayeshV.","1"
"Joisa,Shankar","1"
"Gupta,GirishKumar","1"
"Jayswal,S.P.","1"
"Sharma,Mohit","1"
"Mahesuria,Gaurang","1"
"Gupta,Sumit","1"
"Erikstad,SteinOve","1"
"Varadarajulu,A.","1"
"Kwon,Kichang","1"
"Vora,MurtuzaM.","1"
"ChennaReddy,D.","1"
"Thomas,JintoC.","1"
"Khan,Ziauddin","1"
"Pathak,S.K.","1"
"Ojha,Amit","1"
"Pandya,SantoshP.","1"
"Bhaskar,DataRam","1"
"Siju,Varsha","1"
"Kumar,Pradeep","1"
"Virani,ChetanG.","1"
"Storch,RichardLee","1"
"Nagbhushanam,S.","1"
"Patel,HiteshS.","1"
"Krishnankutty,Parameswaran","1"
"Banaudha,Moni","1"
"Saxena,Yogesh","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
