Scopus - Analyze author output

"Author name:","Sriram, Venkatachalam"
"Scopus author ID:","22936041800"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Sannasiraj,SannasiAnnamalaisamy","8"
"Schlurmann,Torsten","8"
"Sundar,VallamS.","7"
"Schimmels,Stefan","7"
"Ma,Qingwei","5"
"Didenkulova,IraI.","4"
"Fernández,HernánHerrero","3"
"Schlenkhoff,AndreasU.","2"
"Hildebrandt,Arndt","2"
"Sergeeva,AnnaV.","2"
"Ferrer,P.JMartínez","1"
"Goseberg,Nils","1"
"Yan,Shiqiang","1"
"Schimmeis,S.","1"
"Horstmann,Nannina","1"
"Murali,KantharajV.","1"
"Qian,L.","1"
"Sundar,Vallam","1"
"ManojKumar,G.","1"
"Oumeraci,Hocine","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
