Scopus - Analyze author output

"Author name:","Sundar, Vallam"
"Scopus author ID:","56829050000"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Sannasiraj,SannasiAnnamalaisamy","7"
"Narendran,Krishnan","3"
"Murali,K.","2"
"Murali,KantharajV.","2"
"SheelaNair,L.","2"
"Stephen,JermieJ.","2"
"Sriram,Venkatachalam","1"
"Latha,G.","1"
"Harini,K.","1"
"Kurian,N.P.","1"
"Varma,K.VK","1"
"Kerpen,NilsB.","1"
"Amit,D.","1"
"RamBabu,M.","1"
"Kurian,NishaP.","1"
"NarasimhaRao,S.","1"
"Kalyani,M.","1"
"Lokesha","1"
"DineshKumar,E.","1"
"Schlurmann,Torsten","1"
"Balaji,Ramakrishnan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
