Scopus - Analyze author output

"Author name:","Suresh Kumar, Govindarajan"
"Scopus author ID:","56525446200"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Nambi,IndumathiManivannanDUMATHIM","16"
"Natarajan,Nithyanandam","9"
"Vasudevan,M.","8"
"Berlin,M.","7"
"Ghassemi,AhmadA.","5"
"Sharma,Tushar","5"
"Sangwai,JitendraShital","5"
"Bagalkot,NikhilIKHIL","5"
"Renu,V.","4"
"Sekhar,MudduChandra","4"
"Abhishek,Rockey","3"
"Sivasankar,P.","3"
"Patwardhan,SamarthD.","3"
"Mohanasundaram,S.V.","2"
"Gummadi,SathyanarayanaNaidu","2"
"Narasimhan,Balaji","2"
"Chon,Bohyun","2"
"Gaonkar,OmkarD.","2"
"Rakesh,T.V.","1"
"Vivek,R.","1"
"Kanna,Rajesh","1"
"Srinivasareddy,D.","1"
"Misra,Debasmita","1"
"Davis,GregB.","1"
"Lekmine,Grégory","1"
"Gunaji,RadhikaG.","1"
"SrinivasaReddy,D.","1"
"Reddy,D.Srinivasa","1"
"RaviKrishna,R.","1"
"Sapru,R.K.","1"
"Banerjee,Anirban","1"
"Bhore,Niranjan","1"
"Joshi,Abhishek","1"
"Famoori,Fatemeh","1"
"Rayner,JohnL.","1"
"Singh,Deepak","1"
"Johnston,ColinD.","1"
"Bastow,TrevorP.","1"
"Kidambi,Tapan","1"
"RajeshKanna,A.","1"
"Veettil,RakeshThekke","1"
"Misra,Debu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
