Scopus - Analyze author output

"Author name:","Aniruddhan, Sankaran"
"Scopus author ID:","9041994000"

"Co-authors:","46"

"Co-author","Co-authored documents"

"Allstot,DavidJ.","10"
"Shekhar,Sudip","9"
"Ganti,RadhaKrishna","5"
"Chu,Min","4"
"Kumar,Abhishek","3"
"Paramesh,Jeyanandh","2"
"Walling,JeffreyS.","2"
"Agrawal,Gaurav","2"
"Venkateswaran,Muthusubramanian","1"
"VanZalinge,Klaas","1"
"Tadeparthy,Preetam","1"
"Soumyanath,Krishnamurthy","1"
"Kathiah,Saravanan","1"
"Girija,Aparna","1"
"Quan,Xiaohong","1"
"Hung,TsaiP.","1"
"Zhang,Gang","1"
"Godbole,Kunal","1"
"Nejati,Babak","1"
"Rangarajan,Raj","1"
"Li,Xiaoyong","1"
"Sahota,Kamal","1"
"AnandhaRuban,T.T.","1"
"Narathong,Chiewcharn","1"
"Nadh,Arjun","1"
"Sharkia,Ahmad","1"
"Sharma,Ankit","1"
"Choksi,Ojas","1"
"Mirabbasi,Shahriar","1"
"Gakhar,Vikram","1"
"Su,Wenjun","1"
"Neihart,NathanM.","1"
"Öziş,Dicle","1"
"Sridhara,Ravi","1"
"Maldonado,David","1"
"Cicalini,Alberto","1"
"See,Andrew","1"
"Apte,Rahul","1"
"Sun,Bo","1"
"Banerjee,GaurabK.","1"
"Khatavkar,Prathamesh","1"
"O'Shea,Deirdre","1"
"Bossu,Frederic","1"
"Filipovic,Dan","1"
"Komninakis,Christos","1"
"Sankaranarayanan,JanakiramG.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
