Scopus - Analyze author output

"Author name:","Bhashyam, Srikrishna"
"Scopus author ID:","6603357551"

"Co-authors:","73"

"Co-author","Co-authored documents"

"Thangaraj,AndrewE.","12"
"Aazhang,Behnaam","8"
"Giridhar,Krishnamurthy","8"
"Raghavendra,M.RAravind","7"
"Ramya,T.R.","5"
"Sabharwal,Ashutosh","4"
"Jagannathan,KrishnaP.","4"
"Chockalingam,Ananthanarayanan","4"
"Prasad,RangaV.","4"
"Muthuramalingam,Bama","3"
"Krishna,GajananaG.","3"
"Ahmed,Hussam","3"
"Rajagopal,Sridhar","3"
"Srinivas,K.Venkata","3"
"Sundaresan,Rajesh","3"
"Koilpillai,RavinderDavid","3"
"Cavallaro,JosephR.","3"
"Marathe,DevduttV.","2"
"Sayeed,AkbarM.","2"
"Annapureddy,VenkataSreekanth","2"
"Prathyusha,V.","2"
"Ravindran,Karthik","2"
"Mohanram,Chandrashekar","2"
"Chorppath,AnilKumar","2"
"Rajesh,Sundaresan","1"
"Choi,Hyeokho","1"
"Parag,Parimal","1"
"Eldar,Lior","1"
"Jalihal,Devendra","1"
"Lior,Eldar","1"
"Bercovich,Ron","1"
"Dorney,TimothyD.","1"
"Gopalan,Aditya","1"
"Jataprolu,ManjunathKashyap","1"
"Ashar,K.Ishaque","1"
"Sridhar,Murali","1"
"Mangipudi,EaswarVivek","1"
"Aggarwal,Vaneet","1"
"Dey,BikashKumar","1"
"Gorinsky,SergeyV.","1"
"Mitra,Urbashi","1"
"Elamvazhuthi,PannirSelvam","1"
"Joshi,Bhargav","1"
"Kumar,PraneethV.","1"
"Manikandan,C.","1"
"Kumarasubramanian,Abishek","1"
"AparnaVishnu,N.","1"
"Viswanath,Pramod","1"
"Sreekanth,V.P.","1"
"Iyengar,AravindRaghava","1"
"Swamy,VasukiNarasimha","1"
"Doran,Andrew","1"
"Saradka,Balakrishna","1"
"Boda,VinayPraneeth","1"
"Flandrin,Patrick","1"
"RameshKumar,M.R.","1"
"Ramaiyan,Venkatesh","1"
"Ganti,RadhaKrishna","1"
"Shenoy,PrashantJ.","1"
"Sridharan,Gokul","1"
"Dileep,M.K.","1"
"Aravind,Rangarajan","1"
"Li,Wei","1"
"SaiKiran,B.","1"
"Baraniuk,RichardG.","1"
"Shanmugam,Karthikeyan","1"
"Shilpa,G.","1"
"SarathKumar,P.","1"
"KumarV.,Praneeth","1"
"Hottinen,Ari","1"
"Jaiswal,SharadK.","1"
"Sudheesh,Vinod","1"
"Kannu,ArunPachai","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
