Scopus - Analyze author output

"Author name:","Bhikkaji, Bharath"
"Scopus author ID:","14035207900"

"Co-authors:","29"

"Co-author","Co-authored documents"

"RezaMoheimani,S.O.","26"
"Yong,Yuenkuan","6"
"Mahmood,IskandarAlThani","6"
"Söderström,Torsten","4"
"Fleming,AndrewJohn","3"
"Aphale,SumeetS.","3"
"Petersen,Ian","2"
"Cheekati,B.","2"
"Wadikhaye,SachinP.","2"
"Ratnam,M.","2"
"Ratnam,ManiMaran","2"
"Gawthrop,PeterJ.","2"
"Im,Mithun","1"
"Joseph,JayarajV.","1"
"Manohar,Immanuel","1"
"Ganesh,Thendral","1"
"Francis,Jerin","1"
"Ganesan,Girish","1"
"Ratnam,M.","1"
"Subramanian,VidhyaAnantha","1"
"Dubey,AwanishChandra","1"
"George,B.","1"
"Sivaprakasam,Mohanasankar","1"
"Vautier,B.JG","1"
"Anoop,C.S.","1"
"Kumar,V.Jagdeesh","1"
"Sanjeevini,Sneha","1"
"Mahata,Kaushik","1"
"Mohan,Shravan","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
