Scopus - Analyze author output

"Author name:","Chakravorty, Anjan"
"Scopus author ID:","23491403400"

"Co-authors:","60"

"Co-author","Co-authored documents"

"Zimmer,Thomas","12"
"DasGupta,AmitavaK.","10"
"Vanukuru,VenkataNarayanaRao","10"
"D'Esposito,Rosario","7"
"DasGupta,Nandita","7"
"Maìti,ChinmayKumar","5"
"Kumar,KhameshSathishSendhil","5"
"Balanethiram,Suresh","5"
"Frégonèse,sebastien","4"
"Senapati,Biswanath","4"
"Schröter,MichaelP.","4"
"Jacob,Jobymol","3"
"Garg,RameshK.","3"
"Prasad,Nitin","3"
"Nikhil,KoradaNadarSavithry","3"
"Mukherjee,Chhandak","3"
"Yadav,Shon","3"
"Aufinger,Klaus","3"
"Scholz,RenéF.","3"
"Maneux,Cristell","3"
"Jacquet,Thomas","3"
"Augustine,Noel","3"
"Manikandan,RajendranR.","2"
"Sakalas,Paulius","2"
"Knoll,Dieter","2"
"Frégonèse,Sébastien","2"
"Schröter,Michael","2"
"Huszka,Zoltán","2"
"Fox,AlexanderC.","2"
"Bhattacharyya,Arkaprava","2"
"Böck,Josef","2"
"Céli,Didier","2"
"Herricht,Jörg","2"
"Sarangapani,Prasad","2"
"Amrutur,BharadwajS.","2"
"Godavarthi,Nagasatish","1"
"Mahato,SatyasopanSopan","1"
"Velidi,VamsiKrishna","1"
"Maiti,TapasKumarUmar","1"
"Radhakrishna,Ujwal","1"
"Kumar,KhameshCHari","1"
"Sahoo,AmitKumar","1"
"Lekshmi,T.","1"
"Sudheer,NuneV.","1"
"Dey,Aritra","1"
"RaoVanukuru,VenkataNarayana","1"
"Thomas,Sujith","1"
"Mittal,AmitKumar","1"
"Ramonas,Mindaugas","1"
"FrÃ©gonÃ¨se,SÃ©bastien","1"
"Dwivedi,A.DD","1"
"Boeck,Josef","1"
"Sarkar,SubirKumar","1"
"Chevalier,Pascal","1"
"Wipf,Christian","1"
"Mitra,DipenderKumar","1"
"Šimukovič,A.","1"
"Fischer,GerhardG.","1"
"Chakraborty,PinakiK.","1"
"Jungemann,Christoph","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
