Scopus - Analyze author output

"Author name:","Chandrachoodan, Nitin"
"Scopus author ID:","6603127049"

"Co-authors:","54"

"Co-author","Co-authored documents"

"Bhattacharyya,ShuvraS.","5"
"Liu,K.JRay","5"
"Prabhakar,A.","5"
"Potluri,Seetal","4"
"Kamakoti,Veezhinathan","3"
"Rangachari,Sundarrajan","3"
"Jaiswal,ManishKumar","3"
"Suresh,SusurlaVS","2"
"Raghupathy,Arun","2"
"Ravikumar,CPP.","2"
"Ramachandran,HarishankarS.","2"
"Balakrishnan,Jaiganesh","2"
"Jacob,Namita","2"
"ReddyM.,Ramasubba","2"
"Teja,S.SaiSurya","2"
"Singh,VaibhavPratapSundar","2"
"Kumar,K.CGopa","2"
"Koilpillai,David","2"
"Vathsangam,Harshvardhan","2"
"Gulati,AkshayK.","2"
"Rosh,K.SGreen","2"
"Embrandiri,SharatS.","2"
"Kokrady,AmanA.","2"
"Trinadh,Satya","1"
"Liu,Kai","1"
"Natarajan,Karthikeyan","1"
"Yoge,DhirajReddyNallapa","1"
"Parashar,KarthickNagaraj","1"
"Srinivasan,SambasivaH.","1"
"Kamakotiy,V.","1"
"ReddyL.,BharathKumar","1"
"Dommeti,ChSaiteja","1"
"Penumatsa,SureshVarma","1"
"Peddawad,Chaitanya","1"
"Piaget,Jeff","1"
"Qiao,Shuo","1"
"Hsu,Pohsiang","1"
"Sinha,Debjit","1"
"Trinadh,AkulaSatya","1"
"Chavan,Shubham","1"
"Narasimman,Raguvaran","1"
"Kuruvilla,VimithaA.","1"
"Koilpillai,Nathanael","1"
"Liu,Kun","1"
"Gopakumar,Sooraj","1"
"Gaddam,Kannan","1"
"Mridul,Kumar","1"
"SobhanBabu,Ch","1"
"Goel,Aman","1"
"Qiao,Shuo","1"
"Chaitanya,V.ViswaRV","1"
"Baskaran,Roopashree","1"
"Dheeraj,B.","1"
"Visweswariah,Chandu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
