Scopus - Analyze author output

"Author name:","Das, B. K."
"Scopus author ID:","7403285784"

"Co-authors:","41"

"Co-author","Co-authored documents"

"Sohler,Wolfgang","10"
"Ricken,Raimund","5"
"Suche,Hubertus","4"
"Sidharth,R.","3"
"Ganguly,Pranabendu","3"
"Kaushal,Saket","3"
"Bhatt,GaurangR.","3"
"Lahiri,SamirKumar","3"
"DasGupta,Nandita","3"
"Bretenaker,Fabien","2"
"Suhara,Toshiaki","2"
"Crozatier,Vincent","2"
"Chandran,Saravanan","2"
"Navalakhe,RupeshKumar","2"
"Biswas,JuranChandra","2"
"Nosaka,Tetsuya","2"
"Quiring,Viktor","2"
"Lorgeré,Ivan","2"
"LeGouët,JeanLouis","2"
"Gorju,Guillaume","2"
"Karthik,Uppu","2"
"Oesselke,Th","1"
"Dey,Dibyendu","1"
"Baïli,Ghaya","1"
"Sharma,Rajat","1"
"George,JacksP.","1"
"Biswas,J.C.","1"
"Krubhakar,I.Solomon","1"
"Reza,Selim","1"
"Pal,Shantanu","1"
"Samanta,Bidyut","1"
"Gupta,RameshK.","1"
"Fujimura,Masatoshi","1"
"Fujimura,Masatoshi","1"
"Becker,ChristophR.","1"
"Pal,Saurabh","1"
"Chakraborty,Rajib","1"
"KamalDev,K.GA","1"
"Dierolf,Volkmar","1"
"Narendran,R.","1"
"Chandran,SujithK.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
