Scopus - Analyze author output

"Author name:","Kalyan Kumar, B."
"Scopus author ID:","35753596900"

"Co-authors:","13"

"Co-author","Co-authored documents"

"Mishra,MaheshKumar","4"
"Amutha,N.","3"
"Karthikeyan,NattarayanR.","2"
"Mandadi,Kalyani","2"
"Sasitharan,S.","2"
"SivaKumar,G.","2"
"SrinivasBhaskar,K.","1"
"Singh,SriNiwas","1"
"AnilKumar,R.","1"
"Jayashankar,V.","1"
"Srivastsava,S.C.","1"
"MaheshKumar,M.","1"
"SrinivasaRao,KandulaV.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
