Scopus - Analyze author output

"Author name:","Kalyani, Sheetal"
"Scopus author ID:","8634299100"

"Co-authors:","20"

"Co-author","Co-authored documents"

"Giridhar,Krishnamurthy","21"
"Kumar,SumanKrishna","5"
"Pulliyakode,SaishankarKatri","3"
"Hanzo,Lajos","3"
"Karthik,R.M.","2"
"Raj,VimalSBibin","1"
"Lakshminarayanan,Raghavendran","1"
"Ramamurthi,Bhaskar","1"
"Thomas,VargheseAntony","1"
"Krishnan,RajetAnantha","1"
"Chandrasekaran,Geetha","1"
"El-Hajjar,Mohammed","1"
"Sreepada,Sridhan","1"
"José,JubinPazosArias","1"
"Ganti,RadhaKrishna","1"
"Akhtar,Nadeem","1"
"Sreejith,K.","1"
"Menon,Srikanth","1"
"Kallummil,Sreejith","1"
"Kaimaletu,Sunil","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
