Scopus - Analyze author output

"Author name:","Karmalkar, Shreepad"
"Scopus author ID:","7003684078"

"Co-authors:","64"

"Co-author","Co-authored documents"

"Sathaiya,D.Mahaveer","7"
"Gurugubelli,VijayaKumar","7"
"Bhat,KunchinadkaNarayana","6"
"Ajoy,Arvind","5"
"Shur,Michael","4"
"Saleem,Hussain","3"
"Murali,KotaVRM","3"
"Laux,StevenE.","2"
"Gaška,Remis","2"
"Banerjee,J.","2"
"Maheswaran,K.RK","2"
"Mishra,UmeshK.","2"
"Srikanth,Sivasankaran","2"
"Deng,Jianyu","2"
"Oak,Stimit","2"
"Jaikumar,M.G.","2"
"Simin,GrigoryS.","2"
"Mohan,PriyankaVishnuAnanda","2"
"KumarGurugubelli,Vijaya","2"
"Venkatasubramanian,N.","2"
"Thomas,RekhaChithra","2"
"Khan,Muhammadasif","2"
"Haneefa,Saleem","1"
"Clarke,FrederickW.","1"
"Ahrens,Ralf","1"
"Sridhar,D.","1"
"Balaji,SubramanianJ.","1"
"Akhil,C.","1"
"Ho,Fatduen","1"
"Ramakrishna,Sudhir","1"
"RamaKrishnaRao,R.","1"
"Bhattacharya,Enakshi","1"
"ChithraThomas,Rekha","1"
"Nair,HariP.","1"
"Kumar,VinodPradeep","1"
"Anvar,A.","1"
"Daka,Bharath","1"
"Satyan,Naresh","1"
"Balaji,S.","1"
"Amit,M.","1"
"Sumithra,V.G.","1"
"Gokul,R.","1"
"SatishKumar,S.","1"
"Rao,R.Ramakrishna","1"
"Das,AbhikKumar","1"
"Rao,Preeti","1"
"Marjorie,Roji","1"
"Ramesh,GirishM.","1"
"Kumar,BhuwanendraPresenna","1"
"DeepaNair,J.S.","1"
"Badami,KomailMH","1"
"Yeluri,Ramya","1"
"Pradeep,D.","1"
"Sudharsanan,S.","1"
"Yang,Jinwei","1"
"Rao,Koteradhakrishna","1"
"SharatChandra,A.","1"
"DasGupta,AmitavaK.","1"
"Ramanamurthy,P.VM","1"
"Bannerjee,J.","1"
"Balaji,T.","1"
"DasGupta,Nandita","1"
"Prabhu,DineshK.","1"
"Soudabi,N.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
