Scopus - Analyze author output

"Author name:","Khankhoje, Uday K."
"Scopus author ID:","12804390300"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Scherer,AxelAxel","7"
"Richards,BenjaminC.","6"
"Gibbs,HyattM.","6"
"Khitrova,Galina","6"
"Olitzky,JoshuaD.","6"
"Hendrickson,JoshuaR.","5"
"Moghaddam,Mahta","5"
"Kieu,KhanhQuoc","4"
"Trivedi,Rahul","4"
"Homyk,AndrewP.","4"
"Gibson,Ricky","4"
"Gehl,MichaelR.","4"
"Burgin,MarikoS.","3"
"Ćwik,TomA.","3"
"Lee,Yonghee","2"
"Polynkin,PavelG.","2"
"Shah,PratikH.","2"
"Lee,Yonghee","2"
"VanZyl,JakobJVan","2"
"Kim,Juyoung","2"
"Kim,Juyoung","2"
"Sweet,Julian","2"
"Gadre,VikramM.","1"
"Kim,Yunjin","1"
"Hendrickson,JohnR.","1"
"Kim,Seheon","1"
"Majumdar,Arka","1"
"Schaadt,DanielM.","1"
"Duan,Xueyang","1"
"Bhattacharya,Sayak","1"
"Yaswanth,K.S.","1"
"Litvinov,DmitriN.","1"
"Huang,Jingqing","1"
"Duan,Xueyang","1"
"Wegener,Martin","1"
"Hu,Dongzhi","1"
"Gerthsen,Dagmar","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
