Scopus - Analyze author output

"Author name:","Koilpillai, Ravinder David"
"Scopus author ID:","6701470992"

"Co-authors:","59"

"Co-author","Co-authored documents"

"Srinivas,K.Venkata","8"
"Chennakeshu,Sandeep","8"
"Vaidyanathan,PalghatP.","7"
"Nguyen,TruongQuang","6"
"Giridhar,Krishnamurthy","6"
"Ramésh,RajaramP.","4"
"Jalihal,Devendra","3"
"Kuchi,KiranKumar","3"
"Arslan,Hüseyin","3"
"Krasny,LeonidG.","3"
"Bhashyam,Srikrishna","3"
"Zangi,KambizC.","3"
"Takeda,Keiji","2"
"Khawas,P.","2"
"Malladi,Rakesh","2"
"Laakso,TimoI.","2"
"Sampoornam,S.","2"
"Nagarajan,SreeHari","2"
"Toy,RaymondL.","2"
"Deepti,M.","2"
"Khayrallah,AliS.","2"
"Wang,E.","1"
"Dinakar,Pasla","1"
"Kataoka,Kotaro","1"
"Hassan.,AmerA.","1"
"Ramamurthi,Bhaskar","1"
"Jataprolu,ManjunathKashyap","1"
"Kalpalatha,S.","1"
"George,Maria","1"
"Satchidanandan,Bharadwaj","1"
"Jhunjhunwala,Ashok","1"
"Laasko,TimoI.","1"
"Guey,JiannChing","1"
"Ramamurthi,Bhaskar","1"
"Redekar,GirishA.","1"
"Karthik,KowshickS.","1"
"Muralikrishna,P.","1"
"Devar,Sendilramkumar","1"
"Krishna,GajananaG.","1"
"Takei,Ken","1"
"Mitra,SanjitK.","1"
"Jaganathan,Kishore","1"
"KluttoMilleth,J.","1"
"Kataoka,Kotaro","1"
"Bottomley,GregoryE.","1"
"Ramaiyan,Venkatesh","1"
"Maheshwari,Vaibhav","1"
"Sameer,BabuTP","1"
"Molnar,BarbaraD.","1"
"Ganti,RadhaKrishna","1"
"Samuel,Joseph","1"
"Gulati,AkshayK.","1"
"Bhadane,Sourbh","1"
"Mevada,Jagdish","1"
"Bhavani,R.V.","1"
"Vutukuri,MaheshGupta","1"
"Sundararajan,JayKumar","1"
"Perumal,TheekshaAthoor","1"
"Dahlman,ErikB.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
