Scopus - Analyze author output

"Author name:","Krishna, Siddharth Vamsi"
"Scopus author ID:","8507385200"

"Co-authors:","19"

"Co-author","Co-authored documents"

"Padiyar,K.R.","7"
"Sarojkumar,K.","3"
"Sarma,K.KM","3"
"Damodhar,SunilS.","3"
"Pal,Nitai","2"
"Devi,J.Vasundhara","2"
"Reid,DouglasJ.","1"
"Gupta,RamjeePrasad","1"
"Prasad,Upendra","1"
"Sadhu,PradipKumar","1"
"Kaymakçalan,Billûr","1"
"Cadge,David","1"
"Satyavani,K.","1"
"Muscholl,Anca","1"
"Srinivasu,PakkurthiDN","1"
"Kumar,Ayodhya","1"
"Babu,GuttiVenkataRavindranadh","1"
"Iqbal,RaziMohammed","1"
"Joe,Athbel","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
