Scopus - Analyze author output

"Author name:","Krishnan, Ananth"
"Scopus author ID:","8939144400"

"Co-authors:","24"

"Co-author","Co-authored documents"

"Bernussi,AyrtonAyrton","21"
"GraveDePeralta,Luis","13"
"Temkin,Henryk","7"
"Regan,CharlesJ.","7"
"DePeralta,LuisGrave","7"
"Frisbie,StephenP.","6"
"Arora,Pankaj","6"
"Arora,Ankit","4"
"Kuryatkov,VladimirV.","3"
"Knapczyk,MaciejT.","3"
"Holtz,MarkW.","2"
"Ajimo,JacobJ.","2"
"Chesnutt,C.F.","2"
"Holtz,MarkE.","1"
"Marchante,Moses","1"
"Bhattacharya,Enakshi","1"
"Pesala,Bala","1"
"Ray,Shaumik","1"
"Nikishin,SergeyA.","1"
"Kumar,RahulSuresh","1"
"López-Boada,Roberto","1"
"Xu,Xiaoyan","1"
"DeGravePeralta,L.","1"
"Ponnarasan,V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
