Scopus - Analyze author output

"Author name:","Krishnapura, Nagendra"
"Scopus author ID:","6602718407"

"Co-authors:","42"

"Co-author","Co-authored documents"

"Tsividis,YannisP.","10"
"Pavan,Shanthi","9"
"Rakshitdatta,K.S.","4"
"Behera,DebasishK.","3"
"Tóth,LászlóT.","3"
"Singh,VikasKumar","2"
"Aggarwal,Akshay","2"
"Vigraham,Baradwaj","2"
"Khoury,JohnM.","2"
"Kinget,PeterR.","2"
"Sankar,Prabu","2"
"Chaudhry,Qasim","2"
"Nigania,Nimit","2"
"Frey,DouglasR.","2"
"Lakshmikumar,KadabaRKumar","2"
"Mondal,Imon","2"
"Pandarinathan,Ramalingam","2"
"Barazande-Pour,Majid","2"
"Thambidurai,Chembiyan","2"
"Agrawal,Neetin","1"
"Mohan,ArunK.","1"
"Singh,VikasPratap","1"
"Agrawal,AbhishekKumar","1"
"Ramamurthi,B.","1"
"Singh,SameerP.","1"
"Nagaraj,KrishnaswamyS.","1"
"Efthivoulidis,Giorgos","1"
"Jhanwar,Sandeep","1"
"Mathiazhagan,Chakravarthy","1"
"Tamse,Anish","1"
"Suyama,Ken","1"
"Preetham,Celestine","1"
"Ramakrishnan,Girish","1"
"Kumar,SujanRRajesh","1"
"Parameswaran,Shankar","1"
"Mitikiri,Yujendra","1"
"Gupta,Varun","1"
"Karanjkar,Kunal","1"
"Sukumaran,Amrith","1"
"Palaskas,Yorgos","1"
"Bhat,Abhishek","1"
"Manojkumar,Leburu","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
