Scopus - Analyze author output

"Author name:","Lakshminarasamma, N."
"Scopus author ID:","6506967114"

"Co-authors:","15"

"Co-author","Co-authored documents"

"Ramanarayanan,Venkataramanan","9"
"Mishra,MaheshKumar","5"
"Augustine,Sijo","5"
"Masihuzzaman,Md","3"
"Sreekanth,T.","2"
"Reddy,RamakanthMAmarsagar","1"
"Mishra,MaheshKumar","1"
"Beedu,Nishanth","1"
"Sidharthan,P.","1"
"Jhunjunwala,Ashok","1"
"Satpathy,Subhransu","1"
"Brahmendra,B.N.","1"
"Vasudevan,Krishna","1"
"Raju,NedunchezhianGS","1"
"Swaminathan,Balaji","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
