Scopus - Analyze author output

"Author name:","Mishra, Mahesh Kumar"
"Scopus author ID:","35607256300"

"Co-authors:","88"

"Co-author","Co-authored documents"

"Kumar,ChandanUmesh","16"
"Kumar,BablooKalyan","15"
"Ghosh,Arindam","14"
"Kollimalla,SathishKumar","14"
"Joshi,Avinash","11"
"Suryawanshi,HiralalMurlidhar","10"
"Sasitharan,S.","9"
"Karthikeyan,Kottaismy","9"
"Srinivas,Srirama","8"
"Karanki,SrinivasBhaskar","8"
"Tummuru,NarsaReddy","7"
"Geddada,Nagesh","7"
"Augustine,Sijo","6"
"Ballal,MakarandSudhakar","6"
"Srikanthan,S.","6"
"George,V.I.I.","6"
"Kumar,GauravSiva","5"
"Lakshminarasamma,N.","5"
"Kunjumuhammed,LinashP.","4"
"Sreekanth,T.","4"
"Kumar,ManishVinothManoj","4"
"KalyanKumar,B.","4"
"Hussain,Jakeer","4"
"Narasamma,N.Lakshmi","4"
"Lakshmi,NarasammaN.","3"
"Jothibasu,Suma","3"
"Vincent,GrahamR.","3"
"Kothari,D.P.","3"
"Karthikeyan,NattarayanR.","2"
"Meikandashivam,S.","2"
"Vardhana,P.Harsha","2"
"Bhaskar,KavithaSrinivas","2"
"Liserre,Marco","2"
"Teja,V.Ravi","2"
"Khan,Zaferjawed","2"
"Uyyuru,KoteswaraRao","2"
"Raglend,I.Jacob","2"
"Sridhar,KamakshiN.","2"
"Joseph,Sandeep","2"
"Jayashankar,V.","2"
"KoteswaraRao,U.Koteswara","2"
"Kotra,Srikanth","2"
"Linash,P.K.","2"
"Rao,U.Koteswara","2"
"Palanisamy,K.","2"
"SrinivasBhaskar,K.","1"
"Abraham,Lino","1"
"Nagesh,G.","1"
"PraveenKumar,M.V.","1"
"RanjithKumar,S.","1"
"Kothari,AshishG.","1"
"Sonolikar,RamL.","1"
"Subramanian,Sasitharan","1"
"Ballal,DeepaliMakarand","1"
"AnilKumar,R.","1"
"Kumar,DeveshJRSS","1"
"Chaudhari,MadhuriA.","1"
"Vennelaganti,SaiGopal","1"
"Ballal,MakarandSudhakar","1"
"Kulwal,AbhishekK.","1"
"Lohia,Piyush","1"
"Bhende,ChandrashekharNarayan","1"
"Rao,Koteswara","1"
"SivaKumar,G.","1"
"Rao,R.KV","1"
"Sathishkumar,Ramakrishnan","1"
"Kumar,ManjathuValappilManoj","1"
"Šuma,J.","1"
"Sridharan,Srikanthan","1"
"Prabhakar,Nikhil","1"
"Suryanarayana,Harish","1"
"Koteswara,RaoU.","1"
"Tarnekar,S.G.","1"
"Korada,Nikhil","1"
"Nikhil,KoradaNadarSavithry","1"
"Ismail,NafihMuhammad","1"
"Kumar,RupendraAnil","1"
"Tutakne,DhananjayR.","1"
"Kulkarni,OnkarVitthal","1"
"Arora,TriloksinghGurubaxsingh","1"
"John,Blessy","1"
"Kumar,ManojMV","1"
"Vasudevan,Krishna","1"
"Karthikeyann,K.","1"
"Chaudhari,BhupeshNemichand","1"
"Praveen,KumarM.","1"
"Panda,SoumyaKanta","1"
"ManojKumar,M.V.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
