Scopus - Analyze author output

"Author name:","Mitra, Kaushik"
"Scopus author ID:","26531669600"

"Co-authors:","37"

"Co-author","Co-authored documents"

"Veeraraghavan,AshokNarayanan","16"
"Anderson,JamesRobertL","6"
"Wellstood,FrederickC.","6"
"Lobb,ChristopherJohn","6"
"Lewis,RachelM.","5"
"Paik,Hanhee","5"
"Cossairt,OliverS.","5"
"Palomaki,TaunoA.","5"
"Chellappa,Rama","5"
"Dutta,SudeepK.","5"
"Strauch,FrederickW.","4"
"Dragt,AlexJ.","4"
"Chellappa,Rama","3"
"Cooper,BenjaminK.","3"
"Vageeswaran,Priyanka","2"
"Holloway,JasonR.","2"
"Przybysz,AnthonyJ.","2"
"Sankaranarayanan,AswinC.","2"
"Williams,CarlJ.","2"
"Pediredla,AdithyaKumar","2"
"SáDeMelo,CarlosAR","2"
"Tiesinga,Eite","2"
"Boominathan,Vivek","1"
"Gupta,MohitK.","1"
"Johnson,PhilipR.","1"
"Barua,Souptik","1"
"Sheorey,Sameer","1"
"Thukral,Pavleen","1"
"Ito,Atsushi","1"
"Xu,Huizhong","1"
"Ramos,RobertoC.","1"
"Tadano,Ryuichi","1"
"Matthews,JohnA.","1"
"Tambe,Salil","1"
"Koppal,SanjeevJ.","1"
"Honnungar,Sagar","1"
"Baraniuk,RichardG.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
