Scopus - Analyze author output

"Author name:","Nair, Deleep R."
"Scopus author ID:","7005754667"

"Co-authors:","150"

"Co-author","Co-authored documents"

"Mahapatra,Souvik","12"
"Shukuri,Shoji","9"
"Bude,JeffD.","7"
"Jaeger,Daniel","7"
"Divakaruni,Rama","6"
"Sherony,MelanieJ.","6"
"Sudijono,JohnL.","5"
"Arnaud,Franck","5"
"Steegen,AnL.","5"
"Han,Jinping","5"
"Ostermayr,Martin","4"
"Ku,Jahum","4"
"Zhuang,Haoren","4"
"Samavedam,SrikanthB.","4"
"Tiwari,VishalA.","4"
"Khare,MukeshV.","4"
"Thean,VoonYewAaron","4"
"Mohapatra,NiharRanjan","4"
"Köhler,Sabrina","4"
"Eller,Manfred","3"
"Barla,Kathy","3"
"Stein,KennethJ.","3"
"Hamaguchi,Masafumi","3"
"Li,Juntao","3"
"Chudzik,MichaelP.","3"
"Na,MyungHee","3"
"Narayanan,VijayK.","3"
"Kaste,EdwardF.","3"
"Sampson,RonK.","3"
"Kumar,PramodBharath","3"
"Donaton,RicardoA.","3"
"Uchimura,Sadaharu","3"
"Zhang,Qintao","3"
"Miyashita,Katsura","3"
"Bernicot,Christophe","2"
"Stahrenberg,Knut","2"
"Lee,Yoomi","2"
"Song,Liyang","2"
"Liang,Yue","2"
"Chen,Xiang","2"
"Park,Jeongheon","2"
"Lindsay,RichardP.","2"
"Zaleski,Mark","2"
"Li,Waikin","2"
"Moumen,Naim","2"
"Greene,BrianJ.","2"
"Wachnik,RichardA.","2"
"Henson,WilliamKirklen","2"
"Lage,CraigS.","2"
"Liang,Jewel","2"
"Wallner,ThomasA.","2"
"Scholze,Andreas","2"
"Matsuoka,Fumitomo","2"
"Neumueller,Walter","2"
"Wallner,Jin","2"
"Johnson,FrankScott","2"
"Kim,Kisang","2"
"Ohuchi,Kazuya","2"
"Chowdhury,MurshedMahmudA","2"
"Celik,Muhsin","2"
"DasGupta,AmitavaK.","2"
"Lipiński,Marek","2"
"Yang,H.S.","2"
"Lee,Deokhyung","2"
"Coolbaugh,DougV.","2"
"Paulo,Ferreira","2"
"Takasu,Y.","2"
"Kim,Namsoo","2"
"Baiocco,ChristopherV.","2"
"Dai,Min","1"
"Frank,MartinM.","1"
"Iijima,Ryosuke","1"
"Badrudduza,SayeedA.","1"
"Lee,Y.B.","1"
"Goto,Yoshiro","1"
"Onoda,Hiroyuki","1"
"Shimizu,Takashi","1"
"Kirshnan,S.","1"
"SungKim,Nam","1"
"HooPark,Jae","1"
"Stathis,JamesH.","1"
"Moon,Bumki","1"
"Koshy,Jphy","1"
"Lian,Jenny","1"
"Siddiqui,Shahab","1"
"Lai,C.W.","1"
"Strahrenberg,K.","1"
"Yamasaki,H.","1"
"Paruchuri,VamsiK.","1"
"Gribelyuk,MichaelA.","1"
"Wiedholz,Christian","1"
"Lee,Keechang","1"
"Sekine,M.","1"
"Kothandaraman,ChandrasekharanR.","1"
"Josse,Emmanuel","1"
"Iwamoto,T.","1"
"Ando,Takashi","1"
"Sang,L.","1"
"Bu,Huiming","1"
"Ioannou,DimitrisP.","1"
"Wu,ErmestY.","1"
"Sudijon,J.","1"
"ElGhouli,S.","1"
"Krishnan,SiddarthA.","1"
"Brown,JeremyL.","1"
"Lee,Junghyoung","1"
"Montanini,P.","1"
"Satadru,Sarkar","1"
"Okawa,T.","1"
"Wang,Yunyu","1"
"Kothari,HarshitN.","1"
"Teh,Y.W.","1"
"Kang,L.","1"
"Zhuang,Larry","1"
"Gao,Yue","1"
"Hayter,W.","1"
"Zhang,D.","1"
"Meer,H.V.","1"
"Kim,N.","1"
"Wu,X.","1"
"Kang,Heesoo","1"
"Pal,Rohit","1"
"Tekleab,DanielG.","1"
"Williams,RhysQ.","1"
"Hobbs,C.","1"
"Sekine,M.","1"
"Miyake,Shinich","1"
"Cai,Jin","1"
"Aquilino,Michael","1"
"Lee,Yongmeng","1"
"Chen,Jia","1"
"Mora,Pascal","1"
"Utomo,HenryK.","1"
"Yang,Guoyong","1"
"Hu,Yue","1"
"Jha,Rashmi","1"
"Miyake,S.","1"
"Wong,Robert","1"
"Pofelski,Alexandre","1"
"Miyaki,S.","1"
"Kim,Hyunbae","1"
"Sun,D.P.","1"
"Lee,S.C.","1"
"Li,Weipeng","1"
"Teh,Youngway","1"
"Holt,JudsonR.","1"
"Voelker,Moritz","1"
"Kim,Jongdoo","1"
"Pape,James","1"
"Pan,Lihong","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
