Scopus - Analyze author output

"Author name:","Naveen, K. P."
"Scopus author ID:","56140971900"

"Co-authors:","24"

"Co-author","Co-authored documents"

"Kumar,AnuragAnil","8"
"Pradeep,EricP.","3"
"Valliyammai,C.","2"
"Karuppanan,Komathy","2"
"Kumar,RakeshSatheesh","2"
"Mondal,PrasenjitC.","2"
"Sharma,DineshKumar","2"
"SatheeshKumar,R.","1"
"ThamaraiSelvi,Senniappan","1"
"Massoulié,Laurent","1"
"Sinha,AbhishekK.","1"
"Coupechoux,Marceau","1"
"Dave,MarshnilV.","1"
"Towsley,DonF.","1"
"Anand,SandeepVR","1"
"Bhattacharya,AbhijitK.","1"
"Viana,AlineCarneiro","1"
"Baghini,MaryamShojaeiHojaei","1"
"Rao,Akhila","1"
"Gunasekaran,Raja","1"
"Chattopadhyay,ArpanB.","1"
"Baccelli,Emmanuel","1"
"Nishanth,P.P.","1"
"ThamaraiSelvi,S.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
