Scopus - Analyze author output

"Author name:","Prabhakar, A."
"Scopus author ID:","7005554122"

"Co-authors:","106"

"Co-author","Co-authored documents"

"Stancil,DanielD.","9"
"Chandrachoodan,Nitin","5"
"Franchin,Matteo","4"
"Bhattacharya,Shanti","4"
"Venkat,G.","4"
"Krishnamoorthy,Shree","4"
"Fangohr,Hans","4"
"Kumar,PadamPavan","3"
"Kumar,PradeepSaiAnil","3"
"Zhang,Jing","3"
"Kumar,NarendraSenthil","3"
"Syvorotka,IgorM.","2"
"Bhattacharya,Enakshi","2"
"Ravi,Harish","2"
"Jacob,Namita","2"
"Khansa,C.A.","2"
"Kumar,PradeepK.","2"
"Basu,Souvik","2"
"Murthy,HemaA.","2"
"Kumar,PrajwalSureshAnil","2"
"Dmytriiev,OleksandrP.","2"
"Singh,VaibhavPratapSundar","2"
"Syvorotka,IhorI.","2"
"Vathsangam,Harshvardhan","2"
"Malathi,M.","2"
"Thiruthakkathevan,S.","2"
"BinilKumar,S.L.","1"
"Kruglyak,VolodymyrV.","1"
"Vaidya,Varun","1"
"Filips,S.","1"
"Fukushima,Akio","1"
"Sen,Srimoyee","1"
"Kulkarni,AbhijitA.","1"
"Tulapurkar,AshwinA.","1"
"Konjengbam,Anand","1"
"Kubota,Hitoshi","1"
"Wang,James","1"
"Neethu,E.A.","1"
"Barman,Anjan","1"
"Kumar,Dinesh","1"
"Kasthuri,G.R.","1"
"Mathew,Manoj","1"
"Chakravarthy,VaddadiSrinivasa","1"
"Kashyap,Arti","1"
"Venkata,G.","1"
"Mohan,Aneesh","1"
"Tomy,C.V.","1"
"Liu,Francis","1"
"Ranvah,Naresh","1"
"Sankar,SandraG.","1"
"Mayor,S.","1"
"Qiao,Shuo","1"
"Dvornik,Mykola","1"
"Qiao,Shuo","1"
"Krawczyk,MaciejIej","1"
"Kumar,Nikhil","1"
"Huai,Yiming","1"
"Karthik,KowshickS.","1"
"Maral,Vishal","1"
"Singh,BiraChandra","1"
"Miwa,Shinji","1"
"Annamalai,Gandhi","1"
"Bharadwaj,A.","1"
"Gopi,Arun","1"
"Lederman,Marcos","1"
"Montoncello,Federico","1"
"Ashwin,S.","1"
"Lakshminarayanan,G.","1"
"Narasimman,Raguvaran","1"
"Singh,RanbirC.","1"
"Manchanda,Priyanka","1"
"Giovannini,Loris","1"
"Zhu,Ningjia","1"
"Hegde,RajeshM.","1"
"Pradhan,RanjanKumar","1"
"Ubizskii,Sergii","1"
"Manickavelu,M.","1"
"Mruczkiewicz,Michal","1"
"Jayavel,D.","1"
"Chernyshenko,DmitriS.","1"
"Suzuki,Yoshishige","1"
"Fischbacher,Thomas","1"
"Kumar,DheerajKrishnaAndrewPrasanna","1"
"Gorn,NataliyaLvovna","1"
"Ravishankar,Harish","1"
"Yuasa,Shinji","1"
"Sajini,T.","1"
"Albert,Maximilian","1"
"Yakushiji,Kei","1"
"Qiao,Shuo","1"
"Konishi,Katsunori","1"
"Tyagi,Hemant","1"
"Saiyed,Taslimarif","1"
"Berkov,DmitryVladimirovich","1"
"Mikhaylovskiy,RostislavV.","1"
"Kulkarni,Abhijeet","1"
"Semenova,ElenaK.","1"
"Kumar,Pranaw","1"
"Skomski,Ralph","1"
"Marshkole,N.","1"
"Seagle,DaveJ.","1"
"Gayathri,B.","1"
"Rana,Paul","1"
"Pani,SushantaK.","1"
"Praveen,M.","1"
"Knittel,Andreas","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
