Scopus - Analyze author output

"Author name:","Raina, Gaurav"
"Scopus author ID:","36866344100"

"Co-authors:","39"

"Co-author","Co-authored documents"

"Manjunath,Sreelakshmi","10"
"Prasad,SaiKM","7"
"Jagannathan,KrishnaP.","5"
"Kulhare,Anil","4"
"Raman,Shankar","4"
"Chowdhury,ArindamBhanja","4"
"Kamath,GopalKrishna","3"
"Jhunjhunwala,Ashok","2"
"Chavan,Santosh","2"
"Kumar,DeeptiPavan","2"
"Malangadan,Nizar","2"
"Raja,PraveenCKishore","2"
"Venkat,Balaji","2"
"Giridhar,Krishnamurthy","2"
"Rahman,Haseen","2"
"Gonsalves,TimothyA.","2"
"Ghosh,Debayani","2"
"Kelly,FrankP.","1"
"Kovács,Péter","1"
"Walton,NeilS.","1"
"Podapati,Anusha","1"
"Chandrahas,Praveen","1"
"Rao,Anand","1"
"Mohan,Archith","1"
"Karthik,RamyaM.","1"
"Jagannathan,Krishna","1"
"Saffre,Fabrice","1"
"Raina,Gaurav","1"
"Hildmann,Hanno","1"
"Jain,Shashank","1"
"Voice,ThomasD.","1"
"Patil,GaneshA.","1"
"Warrier,AmitM.","1"
"Joseph,HarryRaymond","1"
"Veezhinathan,Kamakoti","1"
"Kumar,Prashant","1"
"Mohan,ShravanH.","1"
"Ganti,RadhaKrishna","1"
"Abuthahir","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
