Scopus - Analyze author output

"Author name:","Ramachandran, Harishankar S."
"Scopus author ID:","24449514600"

"Co-authors:","53"

"Co-author","Co-authored documents"

"Koilpillai,David","5"
"John,PotterI.","4"
"Suresh,SusurlaVS","3"
"Goswami,Monojoy","3"
"Mukherjee,Swagato","3"
"Pahari,SambaranK.","3"
"Chandrachoodan,Nitin","2"
"Sharma,DevendraKumarSen","2"
"Gopakumar,Sooraj","2"
"Kumar,K.CGopa","2"
"Gulati,AkshayK.","2"
"Karthikeyan,AnanthaR.","2"
"Shah,Kushal","2"
"Rosh,K.SGreen","2"
"Srinivasan,BalajiVasan","1"
"Sivaram,S.R.","1"
"Suparna,S.","1"
"Kelkar,Varun","1"
"Reddy,MadadiSaiSriram","1"
"Deka,Utpal","1"
"Reddy,M.Lithin","1"
"Elangovan,Reena","1"
"Teja,S.SaiSurya","1"
"Dommeti,ChSaiteja","1"
"Jhunjhunwala,Ashok","1"
"Penumatsa,SureshVarma","1"
"Harshavardhan,M.","1"
"Rajavardhan,T.","1"
"Selvan,KrishnasamyT.","1"
"Shah,Tirth","1"
"Chavan,Shubham","1"
"Vikram,A.Amit","1"
"Balaji,ChakravarthyDinesh","1"
"Ravindran,RewanthSamson","1"
"Koilpillai,Nathanael","1"
"Dwivedi,ChandraBhushan","1"
"Ganesh,Rajaraman","1"
"Eega,Saisree","1"
"Giridhar,Krishnamurthy","1"
"Ramachandran,Dhinessh","1"
"Shankar,Athreya","1"
"Mridul,Kumar","1"
"Subramanian,ManiP.","1"
"Raut,Sayali","1"
"Yalamarthy,AnanthSaran","1"
"Kuncha,SyamPrasad","1"
"Subramanyan,Varsha","1"
"Chaitanya,V.ViswaRV","1"
"Mallampalli,Abhishikth","1"
"Prasad,NitinL.","1"
"Gupta,DeepakKumarUmar","1"
"Antony,Anand","1"
"Rajkhowa,KavitaRani","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
