Scopus - Analyze author output

"Author name:","Ray, Debdutta"
"Scopus author ID:","9738905600"

"Co-authors:","24"

"Co-author","Co-authored documents"

"Narasimhan,KrishnamoorthyL.","8"
"Leo,KarlW.","8"
"Riede,MoritzKilian","8"
"Patankar,MeghanP.","6"
"Menke,Torben","4"
"Periasamy,N.","3"
"Kleemann,Hans","3"
"Siebert-Henze,Ellen","2"
"Burtone,Lorenzo","2"
"Tietze,MaxL.","1"
"Vandewal,Koen","1"
"Furno,Mauro","1"
"Schwarze,Martin","1"
"Meiss,Jan","1"
"Wei,Peng","1"
"Döhler,GottfriedH.","1"
"Fischer,Janine","1"
"Bao,ZhenanZhenan","1"
"Nayak,PabitraK.","1"
"Lyssenko,VadimG.","1"
"Mishra,AmareshK.","1"
"Brueckner,R.","1"
"Hein,MoritzPhilipp","1"
"Naab,BenjaminD.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
