Scopus - Analyze author output

"Author name:","Sarvepalli, Pradeep Kiran"
"Scopus author ID:","14030314300"

"Co-authors:","12"

"Co-author","Co-authored documents"

"Klappenecker,Andreas","17"
"Aly,SalahA.","7"
"Raußendorf,Robert","5"
"Rötteler,Martin","4"
"Wei,T.C.","1"
"Kumar,SantoshPhani","1"
"Grassl,Markus","1"
"Haghnegahdar,Poya","1"
"Brown,KennethR.","1"
"Bhagoji,Arjun","1"
"Wocjan,Paweł","1"
"Ketkar,Avanti","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
