Scopus - Analyze author output

"Author name:","Saxena, Saurabh N."
"Scopus author ID:","55413089200"

"Co-authors:","28"

"Co-author","Co-authored documents"

"Hanumolu,PavanKumar","21"
"Elshazly,Amr","15"
"Elkholy,Ahmed","12"
"Nandwana,RomeshKumar","11"
"Talegaonkar,Mrunmay","10"
"Anand,Tejasvi","9"
"Shu,Guanghua","7"
"Choi,Wooseok","7"
"Kim,Seongjoong","5"
"Fiez,TerriS.","4"
"Mayaram,Kartikeya","4"
"Choi,Wooseok","3"
"Young,Brian","3"
"Janyavula,Deepthi","2"
"Inti,Rajesh","2"
"Temes,GáborC.","2"
"Zanbaghi,Ramin","2"
"Sarma,PhulenM.","1"
"Wei,Da","1"
"Deepthi,J.","1"
"Pavan,Shanthi","1"
"Asl,SamiraZali","1"
"Nandwana,RomeshKumar","1"
"Sankar,Prabu","1"
"Chakravarthy,M.","1"
"Talegaonkar,Mrumnay","1"
"Zaliasl,Samira","1"
"Nandi,Timir","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
