Scopus - Analyze author output

"Author name:","Srinivas, Srirama"
"Scopus author ID:","16032013600"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Tummuru,NarsaReddy","8"
"Mishra,MaheshKumar","8"
"Kalaiselvi,Jeyaraman","6"
"Somasekhar,VeeramrajuTirumala","5"
"Kumar,KommuruKranti","2"
"Hridya,I.","2"
"Sekhar,K.Ramachandra","2"
"RamachandraSekhar,K.","2"
"Mishra,MaheshK.","2"
"Narayanan,VinodM.","2"
"Mariappan,V.","2"
"Ramachandrasekhar,K.","2"
"Teja,V.Ravi","1"
"Sivakumar,Keerthipati","1"
"Kumar,BharatVijaySravanPavan","1"
"RamaChandraSekhar,K.","1"
"Gopakumar,KumarukattanNair","1"
"ChandraSekhar,K.Rama","1"
"Reddy,T.Narsa","1"
"Mohan,ShravanH.","1"
"NagarjunaReddy,Ch","1"
"PrakashReddy,B.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
