Scopus - Analyze author output

"Author name:","Umesh, Srinivasan"
"Scopus author ID:","6603913321"

"Co-authors:","55"

"Co-author","Co-authored documents"

"Nelson,DouglasJ.","21"
"Cohen,LéonH.","20"
"Sarkar,AbhijitK.","10"
"Rath,SubhalaxmiP.","9"
"Sanand,D.R.","9"
"Sinha,RohitKumar","8"
"Joshi,Vikas","8"
"Abraham,Basil","7"
"Bilgi,RaghavendraR.","7"
"Joy,NeethuMariam","7"
"Benitez,Carmen","6"
"García,LuzF.","6"
"Sriranjani,R.","4"
"Prasad,NandithaVishnu","4"
"Marinovich,NenadM.","4"
"Kumar,SanjeevVenkateshBharath","4"
"Cohen,L.","3"
"Navneeth,K.","3"
"Marinovic,NenadM.","3"
"Karthick,B.Murali","3"
"TUFTS,DONALDW.","3"
"Ney,HermannJ.","2"
"Mohan,Aanchan","2"
"Rose,RichardC.","2"
"VanDeemter,JosH.","1"
"Segura,JoséCarlos","1"
"Zolnay,András","1"
"Lööf,Jonas","1"
"Smith,DavidCanfieldC","1"
"Manohar,Vimal","1"
"PavanKumar,D.S.","1"
"BharathKumar,S.V.","1"
"MuraliKarthick,B.","1"
"RamasubbaReddy,M.","1"
"Kumar,DhanushSunilPavan","1"
"Harish,A.N.","1"
"Baskar,MuraliKarthick","1"
"Cristóbal,Gabriel","1"
"SandhyaRani,R.","1"
"Sharma,Rajesh","1"
"Balaji,VenkataramanS.","1"
"Ge,Hongya","1"
"Rao,Aibing","1"
"Srinivas,ChBhargav","1"
"Ghalehjegh,SinaHamidi","1"
"SrinivasCh,Bhargav","1"
"Kumar,DilipDinesh","1"
"Vinay,M.K.","1"
"Wilson,ElizabethL.","1"
"Bharath,S.V.","1"
"Praveen,Ghodke","1"
"Kolhar,Prateek","1"
"Bonastre,JeanFrançois","1"
"Reddy,MrsRamasubbaS","1"
"Akhil,P.T.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
