Scopus - Analyze author output

"Author name:","Vasudevan, Vinita"
"Scopus author ID:","7005599025"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Ramprasath,S.","5"
"Vikram,KrishnaN.","4"
"Ramakrishna,ManjeshwarVS","4"
"Rafeeque,K.PSunil","3"
"Sundararajan,Govindarajan","3"
"Vasi,JuzerM.","2"
"Vijaykumar,Madiwalar","2"
"Gopalakrishnan,Prakash","1"
"Srinivasan,SambasivaH.","1"
"Begum,ShehanajNissara","1"
"Pramod,T.P.","1"
"Bhattacharya,Enakshi","1"
"Shanker,K.R.","1"
"Mohanan,PezholilV.","1"
"SunilRafeeque,K.P.","1"
"Krishna,DeeptiDas","1"
"Dash,RanjitK.","1"
"Anandan,ChandrothK.","1"
"Rajaram,RajeshTN","1"
"AudiseshaReddy,Kamireddy","1"
"Prince,C.F.","1"
"Gopikrishna,M.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
