Scopus - Analyze author output

"Author name:","Vayalamkuzhi, Pramitha"
"Scopus author ID:","41262687200"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Bhattacharya,Shanti","2"
"Jaiswal,Manu","1"
"Viswanathan,NirmalK.","1"
"Ghosh,MandakrantaA.","1"
"Sreekumar,KrishnapillaiPillai","1"
"Kartha,CheranelloreSudha","1"
"Satapathy,DillipK.","1"
"Hirscher,Michael","1"
"Joseph,Rani","1"
"Keskinbora,Kahraman","1"
"Rai,Vikas","1"
"Eigenthaler,Ulrike","1"
"Sridharan,GayathriM.","1"
"Pradipkanti,L.","1"
"Samlan,C.T.","1"
"Spatz,JoachimPius","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
