Scopus - Analyze author output

"Author name:","Venkatesh, Tiruchirai Gopalakrishnan"
"Scopus author ID:","57189031443"

"Co-authors:","27"

"Co-author","Co-authored documents"

"Murthy,ChebiyyamSivaRam","7"
"SivaRamMurthy,C.","4"
"Kiran,YedugundlaVenkata","4"
"Patnaik,LalitMohan","3"
"Sankar,AnnamalaiSiva","2"
"Swarup,ShantiK.","2"
"Bimal,V.","2"
"Sujatha,T.Lakshmi","2"
"Jayaraj,A.","2"
"Kumaran,ChendurR.","1"
"Praveen,B.VS","1"
"ChendurKumaran,R.","1"
"Bajpai,Parimal","1"
"Gupta,HariPrabhat","1"
"George,Arun","1"
"Jamuar,S.S.","1"
"Senthilmurugan,S.","1"
"Praveen,J.","1"
"Rao,Seelaveerabhadreswara","1"
"RamMurthy,C.Siva","1"
"Mahanta,Chitralekha","1"
"Sridhar,VaradarajanN.","1"
"Bhaskar,AdusumilliVijaya","1"
"Singh,YatindraNath","1"
"Banglani,Ritesh","1"
"Praveen,KumarM.","1"
"Panda,Manoj","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
