Scopus - Analyze author output

"Author name:","Kulkarni, Sushil H."
"Scopus author ID:","10042943100"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Ramesh,GirishM.","6"
"Nair,ManojThamban","5"
"Deepesh,K.P.","2"
"Balasubramanian,Ramachandran","2"
"Sukumar,D.","2"
"Radha,Ramakrishnan","2"
"Jain,Kavita","2"
"KrishnaKumar,G.","2"
"Bhatt,SubhashJ.","1"
"Mishra,PoojaManghirmalani","1"
"Arundhathi,S.","1"
"Kumar,GauravKrishna","1"
"Karia,DineshJ.","1"
"Namboodiri,M.NN","1"
"Sanglikar,MukundA.","1"
"Shimpi,M.E.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
