Scopus - Analyze author output

"Author name:","Mahalingam, Kalpana"
"Scopus author ID:","8673066000"

"Co-authors:","17"

"Co-author","Co-authored documents"

"Kari,Lila","10"
"Jonoska,Nataša","5"
"Subramanian,K.G.","5"
"Daley,Mark","3"
"Abdullah,RosniB.","2"
"Nagar,AtulyaK.","2"
"Bera,Somnath","2"
"Venkat,Ibrahim","1"
"Sureshkumar,Williams","1"
"Thierrin,Gabriel","1"
"McQuillan,Ian","1"
"McQuillan,JamesM.","1"
"Seki,Shinnosuke","1"
"Genova,Daniela","1"
"Jürgensen,Helmut","1"
"Rama,Raghavan","1"
"Chen,Junghuei","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
