Scopus - Analyze author output

"Author name:","Mishra, Sounaka N."
"Scopus author ID:","7402724596"

"Co-authors:","16"

"Co-author","Co-authored documents"

"Sikdar,Kripasindhu","7"
"Saurabh,Saket","5"
"Raman,Venkatesh","3"
"SafinaDevi,N.","3"
"Sikdar,Somnath","3"
"Kumar,MrinalPawan","2"
"Subramanian,ChandrasekaranR.","2"
"Satpathy,Manoranjan","2"
"Mohan,Usha","1"
"Pananjady,Ashwin","1"
"Rao,Bapuji","1"
"Pal,AnitaK.","1"
"Ramani,Sivaramakrishnan","1"
"Maharana,H.S.","1"
"Mane,AniketC.","1"
"Devi,N.Safina","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
