Scopus - Analyze author output

"Author name:","Radha, Ramakrishnan"
"Scopus author ID:","6603846659"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Sharma,VeenaD.","4"
"Thangavelu,Sundaram","4"
"Sivananthan,Siva","3"
"Balasubramanian,Ramachandran","3"
"VenkuNaidu,D.","3"
"SriPadmavati,B.","2"
"Kulkarni,SushilH.","2"
"Amaranath,T.","2"
"AntonySelvan,A.","2"
"Ambika,K.","2"
"SriPadmavati,B.","1"
"Pandey,ManojD.","1"
"Raghavan,Rama","1"
"Jitendriya,S.","1"
"Choudhuri,Debarjoyti","1"
"Adhikari,Saswata","1"
"Naidu,D.Venku","1"
"Selvan,A.Antony","1"
"Patki,Vrishali","1"
"Jeyaram,BalaSuyambu","1"
"ShravanKumar,N.","1"
"Khadekar,GowardhanS.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
