Scopus - Analyze author output

"Author name:","Rama, Raghavan"
"Scopus author ID:","7006526699"

"Co-authors:","19"

"Co-author","Co-authored documents"

"Krishna,ShankaraNarayanan","10"
"Mahajan,Meena","5"
"Krithivasan,Kamala","4"
"Nirmal,Nalinakshi","4"
"Ramesh,HeddurNagappaGowda","3"
"Kuppusamy,Lakshmanan","3"
"Vijayakumar,S.","3"
"Sureshkumar,Williams","3"
"Jeganathan,L.","3"
"Raman,Venkatesh","2"
"Sundarrajan,Vijayakumar","1"
"Ramesh,Hariharan","1"
"HariNagore,C.Sri","1"
"Nagore,C.SriHari","1"
"Badarla,Suresh","1"
"Mahalingam,Kalpana","1"
"Raghavan,Uma","1"
"Vijaykumar,S.","1"
"Smitha,T.A.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
