Scopus - Analyze author output

"Author name:","Roy, Satyajit J."
"Scopus author ID:","55511748098"

"Co-authors:","52"

"Co-author","Co-authored documents"

"Basak,Tanmay","67"
"Pop,IoanAurel","25"
"Patil,PrabhugoudaM.","13"
"Ramakrishna,D.","10"
"Momoniat,Ebrahim","9"
"Saikrishnan,P.","9"
"Roy,Monisha","8"
"Anilkumar,Devarapu","7"
"Ravindran,Renuka","6"
"Singh,AbhishekKumar","6"
"Singh,AparnaKumar","5"
"Takhar,HarmindarS.","5"
"Singh,ParamJeet","5"
"Misra,JagadisChandra","4"
"Sathiyamoorthy,M.","4"
"NATH,Girishwar","4"
"Balakrishnan,ArcotR.","4"
"Chamkha,AliJawad","4"
"Pandey,BishunDeo","4"
"Natarajan,E.","4"
"Anandalakshmi,R.","3"
"Thirumalesha,Chittipotula","3"
"Mahanti,N.C.","3"
"Datta,Prabal","3"
"Aravind,G.S.","3"
"Singh,SandeepKumar","2"
"Nag,Avijit","2"
"KrishnaBabu,S.","2"
"Kaluri,RamSatish","2"
"Sharma,PawanKumar","2"
"Matta,Anjanna","2"
"Kumar,PushpendraE.","2"
"Sai,P.ST","2"
"Voore,Tanmay","1"
"Hindasageri,Vijaykumar","1"
"Ramane,HarishchandraS.","1"
"KumarSingh,Abhishek","1"
"Jayanti,Sreenivas","1"
"MohammedRizwanSadiq,I.","1"
"Pradeep,P.VKrishna","1"
"KrishnaPradeep,P.V.","1"
"Paul,Trishna","1"
"Sruthi,T.PAkshaya","1"
"Eswara,A.T.","1"
"Patil,PrashanthM.","1"
"Sathyakrishna,M.","1"
"Pop,IoanM.","1"
"Richard,Rini","1"
"Latha,D.N.","1"
"Babu,SureshKrishna","1"
"Biswal,Pratibha","1"
"Krishna,ChMurali","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
