Scopus - Analyze author output

"Author name:","Sanyasiraju, Yvss V S S S"
"Scopus author ID:","6603456597"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Raghavarao,C.V.","6"
"Mishra,Nachiketa","5"
"Chandhini,G.","4"
"Manjula,V.","3"
"Sekhar,TatavarthyVenkataSatya","3"
"Rao,V.UM","2"
"Satyanarayana,Chirala","2"
"Sivakumar,Rajagopalan","2"
"Karthik,K.","1"
"Viswanathan,K.K.","1"
"Suresh,SanthoshVS","1"
"Vimala,S.","1"
"Monysekar,K.","1"
"Anjalaiah","1"
"Sekarapandian,N.","1"
"HemaSundarRaju,B.","1"
"Vengadesan,SankaranarayananN.","1"
"Aziz,ZainalAbdul","1"
"Usha,Ramamoorthy","1"
"Subbarayudu,K.","1"
"Agarwal,Susmita","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
