Scopus - Analyze author output

"Author name:","Sarkar, Santanu"
"Scopus author ID:","57105964400"

"Co-authors:","28"

"Co-author","Co-authored documents"

"Maitra,Subhamoy","25"
"Banik,Subhadeep","7"
"SenGupta,Sourav","6"
"Paul,GoutamK.","5"
"Meier,Willi","2"
"Peng,Liqiang","2"
"Gupta,SouravSen","2"
"Hu,Lei","2"
"Huang,Zhangjie","2"
"Venkateswarlu,Ayineedi","1"
"Rohit,RaghvendraSingh","1"
"MeltemSönmez,Turan","1"
"Xu,Jun","1"
"Baksi,Anubhab","1"
"Kacker,RaghuN.","1"
"Maitra,Arpita","1"
"KumarPandey,Sumit","1"
"Chowdhury,MorshedUddin","1"
"Lü,Yao","1"
"Adhikari,Avishek","1"
"Zhang,Xiaona","1"
"Xu,Jun","1"
"Das,ApurbaKumar","1"
"Jhanwar,MahabirPrasad","1"
"Kar,Nirupam","1"
"Stǎnicǎ,Pantelimon","1"
"Lehmann,Michael","1"
"Dey,Prakash","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
