Scopus - Analyze author output

"Author name:","Sivakumar, Koratti Chengalrayan"
"Scopus author ID:","55319587400"

"Co-authors:","24"

"Co-author","Co-authored documents"

"Mishra,Debasisha","5"
"Jose,Shani","5"
"Kurmayya,T.","4"
"Swarna,J.Mercy","3"
"Sushama,AgarwalN.","3"
"Premakumari,K.","3"
"Shivakumar,PappurN.","3"
"Kamaraj,K.","2"
"Psarrakos,PanayiotisJ.","2"
"Bisht,Kavita","2"
"Kannan,M.Rajesh","2"
"Jeyaraman,I.","2"
"Zhang,Yang","2"
"Ramanathan,K.","2"
"Choudhury,ProjeshNath","2"
"RajeshKannan,M.","1"
"Ravindran,Gomatam","1"
"AppiReddy,K.","1"
"Saranya,C.R.","1"
"Jayaraman,Sachindranath","1"
"daFonseca,CarlosM.","1"
"Vetrivel,Vellaichamy","1"
"Meenakshi,ArR.","1"
"Kulkarni,S.H.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
