Scopus - Analyze author output

"Author name:","Usha, Ramamoorthy"
"Scopus author ID:","7007006949"

"Co-authors:","73"

"Co-author","Co-authored documents"

"Uma,B.","16"
"Ramasami,Thirumalachari","15"
"Vimala,P.","10"
"Ghosh,SukhenduBikash","6"
"Sridharan,Rukmani","5"
"Ravindran,Renuka","5"
"Sadiq,I.MohammedRizwan","5"
"Millet,Séverine","4"
"Amaranath,T.","4"
"Nigam,SwamiDayal","4"
"Anjalaiah","4"
"Prema,K.","4"
"Subramanian,VenkatesanK.","3"
"Mandal,AsitBaran","3"
"Tulapurkara,E.G.","3"
"Sahu,KirtiChandra","3"
"Rajaram,Anantanarayanan","3"
"Palaniappan,D.","3"
"SenthilKumar,SundararajSenthil","2"
"Govindarajan,Rama","2"
"Prasadarao,T.A.","2"
"Bandyopadhyay,Dipankar","2"
"Banerjee,Tamal","2"
"Sanjeevi,R.","2"
"Rousset,FrançoisÇois","2"
"Sreeram,KalaricalJanardhananAnardhanan","2"
"Tammisola,Outi","2"
"Rukmani,R.","2"
"Dhathathreyan,Aruna","2"
"Hemalatha,K.","2"
"Benhadid,Hamda","2"
"PraveenKumar,A.Ananth","1"
"Nigam,R.","1"
"Varun,R.","1"
"Botton,Valéry","1"
"Rajini,K.H.","1"
"Srinivasan,K.","1"
"Sundaresan,Raja","1"
"KingSmith,PeterEwen","1"
"Mohan,Ranganathan","1"
"Lakra,Rachita","1"
"Usha,R.","1"
"Korrapati,PurnaSai","1"
"Sanyasiraju,YvssVSSS","1"
"Goyal,Himanshu","1"
"Chattopadhyay,Geetanjali","1"
"Allouche,M.H.","1"
"Vasudevan,Sudarshan","1"
"Götz,ThomasH.","1"
"Naire,Shailesh","1"
"Maheshwari,Ronak","1"
"Braun,RichardJ.","1"
"MohammedRizwanSadiq,I.","1"
"Sundararajan,Thirumalachari","1"
"McFadden,GeoffreyB.","1"
"Jaimohan,S.M.","1"
"BenHadid,Hamda","1"
"Sisoev,GrigoriM.","1"
"Ranganathan,T.S.","1"
"PrasadaRao,TetaliAnanda","1"
"Arumugam,VeerakumarKumar","1"
"Raman,SumathySundarSai","1"
"Kiran,ManikantanSyamalaYamala","1"
"AnanthPraveenKumar,A.","1"
"Driscoll,TobinA.","1"
"Cook,L.Pamela","1"
"Joo,Sangwoo","1"
"Somanathan,Narayanasastri","1"
"Henry,Daniel","1"
"Yadav,Anjalaiah","1"
"Mukhopadhyay,Suvasish","1"
"Gayathri,T.","1"
"Chakraborty,Subrata","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
