Scopus - Analyze author output

"Author name:","Veeramani, P."
"Scopus author ID:","6603146084"

"Co-authors:","22"

"Co-author","Co-authored documents"

"Rajesh,S.","4"
"Eldred,A.Anthony","4"
"Anuradha,J.","3"
"Kosuru,SankaraSankaraRaju","3"
"Romaguera,Salvador","2"
"Raj,V.Sankar","2"
"George,A.","2"
"Ganesan,Kaliappan","2"
"Srinivasan,P.S.","2"
"SadiqBasha,S.Sadiq","2"
"Kirk,WilliamA.","2"
"Pai,D.V.","1"
"Reich,Simeon","1"
"Espínola,Rafa","1"
"Vasuki,R.","1"
"Alegre,Carmen","1"
"VeenaSangeetha,M.","1"
"Bhattacharyya,PulinKumar","1"
"Gregori,Valentín","1"
"Vetrivel,Vellaichamy","1"
"AnthonyEldred,A.","1"
"Pai,Devidas","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
