Scopus - Analyze author output

"Author name:","Vetrivel, Vellaichamy"
"Scopus author ID:","26636019100"

"Co-authors:","21"

"Co-author","Co-authored documents"

"Dutta,Joydeep","3"
"Jeyaraman,I.","3"
"Sultana,Asrifa","3"
"Chandrashekaran,A.","2"
"Sundar,Subbiah","2"
"Bhattacharyya,PulinKumar","2"
"Götz,ThomasH.","2"
"Parthasarathy,T.","2"
"Selvanayagam,K.","2"
"Nanda,Sudarsan","2"
"Gangopadhyay,Sugata","2"
"Singh,Bhupendra","1"
"Raman,D.Sampangi","1"
"Sivakumar,KorattiChengalrayan","1"
"Jayaram,Balasubramaniam","1"
"Sharma,RajendraKumar","1"
"Narayana,KakarlaVVDL","1"
"Aussel,Didier","1"
"Parthasarathy,Thiruvenkatachari","1"
"Balaji,R.","1"
"Veeramani,P.","1"

"© 2017 Elsevier B.V. All rights reserved. Scopus ® is a registered trademark of Elsevier Properties S.A., used under license."
